,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming
463,2021-12-25 14:17:02+00:00,@undercoverjungs iyaa cuma ada di grabfood☹️ gofood aku gatauu tp di shopeefood gaada,iyaa cuma ada di grabfood gofood aku gatauu tp di shopeefood gaada,iyaa hanya ada di grabfood gofood saya gatauu tapi di shopeefood tidak ada,iyaa grabfood gofood gatauu shopeefood,"['iyaa', 'grabfood', 'gofood', 'gatauu', 'shopeefood']"
464,2021-12-25 14:12:08+00:00,"terimakasih @shopeefood_id berkatmu bisa jajan murah dan banyak setiap saat 🤤☺️
semoga kedepan tdk ada minimal order utk menikmati diskon 😍 https://t.co/PoDL5cZ1xO",terimakasih id berkatmu bisa jajan murah dan banyak setiap saat semoga kedepan tdk ada minimal order utk menikmati diskon,terima kasih id berkatmu bisa jajan murah dan banyak setiap saat semoga kedepan tidak ada minimal order untuk menikmati potongan harga,terima kasih id berkatmu jajan murah semoga kedepan minimal order menikmati potongan harga,"['terima', 'kasih', 'id', 'berkat', 'jajan', 'murah', 'moga', 'depan', 'minimal', 'order', 'nikmat', 'potong', 'harga']"
465,2021-12-25 14:05:50+00:00,"Solusi old date tpi pgn makan enak
#ShopeeFood #gojek https://t.co/5nKpCnyOu3",solusi old date tpi pgn makan enak,solusi old date tapi ingin makan enak,solusi old date makan enak,"['solusi', 'old', 'date', 'makan', 'enak']"
466,2021-12-25 14:01:45+00:00,"ini masa w jajan shopeefood, bapaknya bilang resto tutup tapi gabisa cancel tau2 dia nyelesain pesanan lah duitnya ttp kepotong diambil dia soalnya pake shopay, udah nunggu sejam mana tau mau balikin tapi gada🙃",ini masa jajan shopeefood bapaknya bilang resto tutup tapi gabisa cancel tau dia nyelesain pesanan lah duitnya ttp kepotong diambil dia soalnya pake shopay udah nunggu sejam mana tau mau balikin tapi gada,ini masa jajan shopeefood bapaknya bilang resto tutup tapi tidak bisa cancel tahu dia menyelesaikan pesanan lah uangnya tetap kepotong diambil dia soalnya pakai shopay sudah nunggu sejam mana tahu mau balikin tapi tidak ada,jajan shopeefood bapaknya resto tutup cancel menyelesaikan pesanan uangnya kepotong diambil pakai shopay nunggu sejam balikin,"['jajan', 'shopeefood', 'bapak', 'resto', 'tutup', 'cancel', 'selesai', 'pesan', 'uang', 'potong', 'ambil', 'pakai', 'shopay', 'nunggu', 'jam', 'balikin']"
467,2021-12-25 13:59:07+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/Fl2uf0ZaQI https://t.co/7RUS2vQ68D,share amp makan gratis bareng teman di shopeefood,bagikan amp makan gratis bersama teman di shopeefood,bagikan makan gratis teman shopeefood,"['bagi', 'makan', 'gratis', 'teman', 'shopeefood']"
468,2021-12-25 13:56:52+00:00,"@RacunBelanja Hari ini yg lumayan dpt voucher shopeefood 2x, sisanya zonk https://t.co/vKStepNpeF",hari ini yg lumayan dpt voucher shopeefood x sisanya zonk,hari ini yang lumayan dapat voucher shopeefood kali sisanya gagal,lumayan voucher shopeefood kali sisanya gagal,"['lumayan', 'voucher', 'shopeefood', 'kali', 'sisa', 'gagal']"
469,2021-12-25 13:54:39+00:00,"Shopee jahat banget aku lagi pgn order shopeefood eh malah akun ku dibatasi. Gajelas. 

@ShopeeID @ShopeeCare",shopee jahat banget aku lagi pgn order shopeefood eh malah akun ku dibatasi gajelas,shopee jahat banget saya lagi ingin order shopeefood eh malah akun ku dibatasi gajelas,shopee jahat banget order shopeefood eh akun ku dibatasi gajelas,"['shopee', 'jahat', 'banget', 'order', 'shopeefood', 'eh', 'akun', 'ku', 'batas', 'gajelas']"
470,2021-12-25 13:53:13+00:00,"Shopeefood emg gada lawan, masa es teh indonesia cuman 7 rebu doang 😭 https://t.co/PTB0h56uTQ",shopeefood emg gada lawan masa es teh indonesia cuman rebu doang,shopeefood emang tidak ada lawan masa es teh indonesia cuman rebu saja,shopeefood emang lawan es teh indonesia cuman rebu,"['shopeefood', 'emang', 'lawan', 'es', 'teh', 'indonesia', 'cuman', 'rebu']"
471,2021-12-25 13:49:25+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/Fl2uf0ZaQI https://t.co/PrJRjHfwhd,share amp makan gratis bareng teman di shopeefood,bagikan amp makan gratis bersama teman di shopeefood,bagikan makan gratis teman shopeefood,"['bagi', 'makan', 'gratis', 'teman', 'shopeefood']"
472,2021-12-25 13:45:24+00:00,Guys di shopeefood bisa ngasih tip ke driver ngga? Lewat shopeepaynya maksudnya,guys di shopeefood bisa ngasih tip ke driver ngga lewat shopeepaynya maksudnya,guys di shopeefood bisa memberi tip ke driver tidak lewat shopeepaynya maksudnya,guys shopeefood tip driver shopeepaynya maksudnya,"['guys', 'shopeefood', 'tip', 'driver', 'shopeepaynya', 'maksud']"
