Tweets,Case_Folding,Clean_Data,Tweet_Normal;;;;;;
"ya allah, boros kali aku😭😭"",aku yg sekarang top up shopeepay bukan buat belanja tapi buat jajan shopeefood terus ya allah boros kali aku,saya yang sekarang mantap up shopeepay bukan buat belanja tapi buat jajan shopeefood terus ya allah boros kali saya";;;;;;
Bapaknya lucu&lt;3 https://t.co/YdlvZtC1LY,bapaknya lucu&lt;3 https://t.co/ydlvztc1ly,bapaknya lucult,bapaknya lucult;;;;
Pesen makan pake shopeefood aja aku masih split bill.,pesen makan pake shopeefood aja aku masih split bill.,pesen makan pake shopeefood aja aku masih split bill,pesan makan pakai shopeefood aja saya masih split bill;;;;;;
"Tolong yaa @shopeefood_id @ShopeeID lebih di perhatikan lagi sikap drivernya, saya gak pernah kecewa soal pesanan lain. Tp bener2 kesel sama pelayanan shopee food nya.,""tolong yaa @shopeefood_id @shopeeid lebih di perhatikan lagi sikap drivernya, saya gak pernah kecewa soal pesanan lain. tp bener2 kesel sama pelayanan shopee food nya."",tolong yaa id lebih di perhatikan lagi sikap drivernya saya gak pernah kecewa soal pesanan lain tp bener kesel sama pelayanan shopee food nya,tolong ya id lebih di perhatikan lagi sikap drivernya saya tidak pernah kecewa soal pesanan lain tapi benar kesal sama pelayanan shopee food nya";;;;;;
"Guis yuk diorder cemilannya☺️
Menu+price list lainnya ada di bawah ya🤗

Yang mau order langsung DM ke @cemilan_kenyang
Tersedia di Gofood/Grabfood/ShopeeFood
Cek Instagram “macronis_food” 

Dom Malang, Jatim. https://t.co/OUhEbfoUCe,""guis yuk diorder cemilannya☺️";;;;;;
menu+price list lainnya ada di bawah ya🤗;;;;;;
;;;;;;
yang mau order langsung dm ke @cemilan_kenyang;;;;;;
tersedia di gofood/grabfood/shopeefood;;;;;;
cek instagram “macronis_food” ;;;;;;
;;;;;;
"dom malang, jatim. https://t.co/ouhebfouce"",guis yuk diorder cemilannya menuprice list lainnya ada di bawah ya yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,guis yuk diorder cemilannya menuprice list lainnya ada di bawah ya yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim";;;;;;
"Saya pesen via @shopeefood_id @ShopeeID karena emg lg ada promo, eh tp sikap drivernya kurang mengenakan bgt. 
Dibanding driver @GrabID atau @gojekindonesia, drivernya @shopeefood_id @ShopeeID buruk bgt sumpah. 
Emg cuma 1 driver ini aja tp sumpah bikin kesel.,""saya pesen via @shopeefood_id @shopeeid karena emg lg ada promo, eh tp sikap drivernya kurang mengenakan bgt. ";;;;;;
dibanding driver @grabid atau @gojekindonesia, drivernya @shopeefood_id @shopeeid buruk bgt sumpah. ;;;;;;
"emg cuma 1 driver ini aja tp sumpah bikin kesel."",saya pesen via id karena emg lg ada promo eh tp sikap drivernya kurang mengenakan bgt dibanding driver atau drivernya id buruk bgt sumpah emg cuma driver ini aja tp sumpah bikin kesel,saya pesan via id karena emang lagi ada promo eh tapi sikap drivernya kurang mengenakan begitu dibanding driver atau drivernya id buruk begitu sumpah emang hanya driver ini aja tapi sumpah bikin kesal";;;;;;
"Promo WENDY'S PAKET SPESIAL khusus GOFOOD/SHOPEEFOOD mulai Rp. 69.999

klik link di bawah ini untuk info selengkapnya
https://t.co/011F4tAqxu

#wendys #promo #diskon #infopromo https://t.co/dZD0Yp7IMz,""promo wendy's paket spesial khusus gofood/shopeefood mulai rp. 69.999";;;;;;
;;;;;;
klik link di bawah ini untuk info selengkapnya;;;;;;
https://t.co/011f4taqxu;;;;;;
;;;;;;
"#wendys #promo #diskon #infopromo https://t.co/dzd0yp7imz"",promo wendys paket spesial khusus gofoodshopeefood mulai rp klik link di bawah ini untuk info selengkapnya,promo wendys paket spesial khusus gofoodshopeefood mulai rupiah klik link di bawah ini untuk info selengkapnya";;;;;;
"Saya sampe di chat di tlpn dimarah-marahin sama driver @shopeefood_id @ShopeeID grgr saya ngasig rate gak sesuai yg dia mau, pdhl sayapun gak ngasih rate rendah 3-1 tp 4 dan masih saya kasih tips meskipun saya kesel. Hanya ngasih penilaian aja klo emang sikapnya gak sopan.,""saya sampe di chat di tlpn dimarah-marahin sama driver @shopeefood_id @shopeeid grgr saya ngasig rate gak sesuai yg dia mau, pdhl sayapun gak ngasih rate rendah 3-1 tp 4 dan masih saya kasih tips meskipun saya kesel. hanya ngasih penilaian aja klo emang sikapnya gak sopan."",saya sampe di chat di tlpn dimarahmarahin sama driver id grgr saya ngasig rate gak sesuai yg dia mau pdhl sayapun gak ngasih rate rendah tp dan masih saya kasih tips meskipun saya kesel hanya ngasih penilaian aja klo emang sikapnya gak sopan,saya sampai di chat di tlpn dimarahmarahin sama driver id grgr saya ngasig rate tidak sesuai yang dia mau padahal sayapun tidak memberi rate rendah tapi dan masih saya kasih tips meskipun saya kesal hanya memberi penilaian aja kalau memang sikapnya tidak sopan";;;;;;
"drivernya nyolot nyuruh saya liat titik antar. 
Perasaan waktu terakhir saya pesen di @shopeefood_id @ShopeeID dan saya ngasih tau titik antar drivernya ramah dan ngerti saya jelasin alamat, malah driver blg klo maps antar di shopee emang suka salah.,""drivernya nyolot nyuruh saya liat titik antar. ";;;;;;
"perasaan waktu terakhir saya pesen di @shopeefood_id @shopeeid dan saya ngasih tau titik antar drivernya ramah dan ngerti saya jelasin alamat, malah driver blg klo maps antar di shopee emang suka salah."",drivernya nyolot nyuruh saya liat titik antar perasaan waktu terakhir saya pesen di id dan saya ngasih tau titik antar drivernya ramah dan ngerti saya jelasin alamat malah driver blg klo maps antar di shopee emang suka salah,drivernya nyolot nyuruh saya lihat titik antar perasaan waktu terakhir saya pesan di id dan saya memberi tahu titik antar drivernya ramah dan ngerti saya jelaskan alamat malah driver bilang kalau maps antar di shopee memang suka salah";;;;;;
"sumpah gak ngerti sama salah satu driver @shopeefood_id @ShopeeID 
saya ngasih tau baik2 klo alamat udh sesuai sama tempat saya tinggal, sebelumnya driver tersebut nanya titik antar apa betul saya blg itu alamatnya udh sesuai tp titik salah. 
Dan saya ngasih tau baik2 tp.. (cont,""sumpah gak ngerti sama salah satu driver @shopeefood_id @shopeeid ";;;;;;
saya ngasih tau baik2 klo alamat udh sesuai sama tempat saya tinggal, sebelumnya driver tersebut nanya titik antar apa betul saya blg itu alamatnya udh sesuai tp titik salah. ;;;;;;
"dan saya ngasih tau baik2 tp.. (cont"",sumpah gak ngerti sama salah satu driver id saya ngasih tau baik klo alamat udh sesuai sama tempat saya tinggal sebelumnya driver tersebut nanya titik antar apa betul saya blg itu alamatnya udh sesuai tp titik salah dan saya ngasih tau baik tp cont,sumpah tidak ngerti sama salah satu driver id saya memberi tahu baik kalau alamat sudah sesuai sama tempat saya tinggal sebelumnya driver tersebut nanya titik antar apa betul saya bilang itu alamatnya sudah sesuai tapi titik salah dan saya memberi tahu baik tapi cont";;;;;;
"@klniin Asli serem banget hujannya, mana lagi pesen shopeefood kasiang mangnya,""@klniin asli serem banget hujannya, mana lagi pesen shopeefood kasiang mangnya"",asli serem banget hujannya mana lagi pesen shopeefood kasiang mangnya,asli seram banget hujanny";;;;;;
makasih shopeefood https://t.co/WUQC91vKS5,makasih shopeefood https://t.co/wuqc91vks5,makasih shopeefood,makasih shopeefood;;;;;;
Shopeefood knp bikin aku jajan trs😭😭,shopeefood knp bikin aku jajan trs😭😭,shopeefood knp bikin aku jajan trs,shopeefood kenapa bikin saya jajan terus;;;;;;
"Guis hujan gini enaknya order pangsit goreng spesial yukk 😍

Yang mau order langsung DM ke @cemilan_kenyang
Tersedia di Gofood/Grabfood/ShopeeFood
Cek Instagram “macronis_food” 

Dom Malang, Jatim. https://t.co/X4bVkSerSb,""guis hujan gini enaknya order pangsit goreng spesial yukk 😍";;;;;;
;;;;;;
yang mau order langsung dm ke @cemilan_kenyang;;;;;;
tersedia di gofood/grabfood/shopeefood;;;;;;
cek instagram “macronis_food” ;;;;;;
;;;;;;
"dom malang, jatim. https://t.co/x4bvksersb"",guis hujan gini enaknya order pangsit goreng spesial yukk yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,guis hujan begini enaknya order pangsit goreng spesial yukk yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim";;;;;;
ke circle k jalan kaki cuma 5 mnt tp ak pesen lewat shopeefood gpp kan ya😞,ke circle k jalan kaki cuma 5 mnt tp ak pesen lewat shopeefood gpp kan ya😞,ke circle k jalan kaki cuma mnt tp ak pesen lewat shopeefood gpp kan ya,ke circle ke jalan kaki hanya mnt tapi ak pesan lewat shopeefood tidak apa kan ya;;;;;;
"Nasi Goreng Tiga De Nok - Palmerah sekarang ada di ShopeeFood! Pesan Sekarang, langsung diantar. https://t.co/WnLvfcwVNg https://t.co/YuNWNohlaY,""nasi goreng tiga de nok - palmerah sekarang ada di shopeefood! pesan sekarang, langsung diantar. https://t.co/wnlvfcwvng https://t.co/yunwnohlay"",nasi goreng tiga de nok palmerah sekarang ada di shopeefood pesan sekarang langsung diantar,nasi goreng tiga de nok palmerah sekarang ada di shopeefood pesan sekarang langsung diantar";;;;;;
"@BaleBengong #kamisbisnis
Masih ada nih diskon di shopeefood. Nugget 35rb jadi 16rb saja.. jangan lupa claim voucher yaa..
Silakan klik link nya https://t.co/QzOt3aNrj3 https://t.co/MBFSITD1eF,""@balebengong #kamisbisnis";;;;;;
masih ada nih diskon di shopeefood. nugget 35rb jadi 16rb saja.. jangan lupa claim voucher yaa..;;;;;;
"silakan klik link nya https://t.co/qzot3anrj3 https://t.co/mbfsitd1ef"",masih ada nih diskon di shopeefood nugget rb jadi rb saja jangan lupa claim voucher yaa silakan klik link nya,masih ada ini potongan harga di shopeefood nugget rb jadi rb saja jangan lupa claim voucher ya silahkan klik link nya";;;;;;
Kenapa deh shopeefood makanannya ga ada decs jadi gua bingung isinya apa aja,kenapa deh shopeefood makanannya ga ada decs jadi gua bingung isinya apa aja,kenapa deh shopeefood makanannya ga ada decs jadi gua bingung isinya apa aja,kenapa deh shopeefood makanannya tidak ada decs jadi saya bingung isinya apa aja;;;;;;
"Guis yuk diorder cemilannya☺️
Menu+price list lainnya ada di bawah ya🤗

Yang mau order langsung DM ke @cemilan_kenyang
Tersedia di Gofood/Grabfood/ShopeeFood
Cek Instagram “macronis_food” 

Dom Malang, Jatim. https://t.co/7kWW9pCt4h,""guis yuk diorder cemilannya☺️";;;;;;
menu+price list lainnya ada di bawah ya🤗;;;;;;
;;;;;;
yang mau order langsung dm ke @cemilan_kenyang;;;;;;
tersedia di gofood/grabfood/shopeefood;;;;;;
cek instagram “macronis_food” ;;;;;;
;;;;;;
"dom malang, jatim. https://t.co/7kww9pct4h"",guis yuk diorder cemilannya menuprice list lainnya ada di bawah ya yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,guis yuk diorder cemilannya menuprice list lainnya ada di bawah ya yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim";;;;;;
"@detikcom Rame banget!!!
Yaaa kaleee gk ada yg beli!!!
Bakso Budeh Pur

GoFood @gojekindonesia
https://t.co/5foCeZSvN9

GrabFood @GrabID
https://t.co/fyRA6e4eaL

ShopeeFood @ShopeeID
https://t.co/PNe3RtzYGw,""@detikcom rame banget!!!";;;;;;
yaaa kaleee gk ada yg beli!!!;;;;;;
bakso budeh pur;;;;;;
;;;;;;
gofood @gojekindonesia;;;;;;
https://t.co/5focezsvn9;;;;;;
;;;;;;
grabfood @grabid;;;;;;
https://t.co/fyra6e4eal;;;;;;
;;;;;;
shopeefood @shopeeid;;;;;;
"https://t.co/pne3rtzygw"",rame banget yaaa kaleee gk ada yg beli bakso budeh pur gofood grabfood shopeefood,ramai banget yaaa kaleee tidak ada yang beli bakso budeh pur gofood grabfood shopeefood";;;;;;
"Drama Uang Ditahan Karena Laku Akibat Promo Dari Shopee

ps:
Jadi.... Akibat promo shopee resto terlalu laku, sehingga layak suspend karena mencurigakan? 🤔

Lebih lengkap baca di:
https://t.co/TFtYvFFqEf

cc: @ShopeeID 
cc: @shopeefood_id https://t.co/4yVDUnpZJp,""drama uang ditahan karena laku akibat promo dari shopee";;;;;;
;;;;;;
ps:;;;;;;
jadi.... akibat promo shopee resto terlalu laku, sehingga layak suspend karena mencurigakan? 🤔;;;;;;
;;;;;;
lebih lengkap baca di:;;;;;;
https://t.co/tftyvffqef;;;;;;
;;;;;;
cc: @shopeeid ;;;;;;
"cc: @shopeefood_id https://t.co/4yvdunpzjp"",drama uang ditahan karena laku akibat promo dari shopee ps jadi akibat promo shopee resto terlalu laku sehingga layak suspend karena mencurigakan lebih lengkap baca di cc cc id,drama uang ditahan karena laku akibat promo dari shopee prabowo subianto jadi akibat promo shopee resto terlalu laku sehingga pantas suspend karena mencurigakan lebih lengkap baca di cc cc id";;;;;;
"Setiap Jumat makan hemat banget? CJ aja!
FREE Western Beefbac Cheeseburger setiap pembelian 2 Western Beefbac Cheeseburger berlaku untuk Dine In, Take Away, Drive Thru, juga pesan antar lewat Grabfood, GoFood, Shopeefood atau One Stop CJ.
#CarlsJrID #CarlsJr #Chargrilledburger https://t.co/y8tl4f6EUZ,""setiap jumat makan hemat banget? cj aja!";;;;;;
free western beefbac cheeseburger setiap pembelian 2 western beefbac cheeseburger berlaku untuk dine in, take away, drive thru, juga pesan antar lewat grabfood, gofood, shopeefood atau one stop cj.;;;;;;
"#carlsjrid #carlsjr #chargrilledburger https://t.co/y8tl4f6euz"",setiap jumat makan hemat banget cj aja free western beefbac cheeseburger setiap pembelian western beefbac cheeseburger berlaku untuk dine in take away drive thru juga pesan antar lewat grabfood gofood shopeefood atau one stop cj,setiap jumat makan hemat banget cj aja free western beefbac cheeseburger setiap pembelian western beefbac cheeseburger berlaku untuk dine in take away drive thru juga pesan antar lewat grabfood gofood shopeefood atau one stop cj";;;;;;
Driver @shopeefood_id Jogja akhlakless sejam dichat ga dibls tau2 cancel https://t.co/K0pUKiVVxS,driver @shopeefood_id jogja akhlakless sejam dichat ga dibls tau2 cancel https://t.co/k0pukivvxs,driver id jogja akhlakless sejam dichat ga dibls tau cancel,driver id jogja akhlakless sejam dichat tidak dibls tahu cancel;;;;;;
@SINON_4 Aku pernah order shopeefood drivernya di meksiko,@sinon_4 aku pernah order shopeefood drivernya di meksiko,aku pernah order shopeefood drivernya di meksiko,saya pernah order shopeefood drivernya di meksiko;;;;;;
lebih cinta lagiii nemu nasi padang enaq di shopeefood eandom aja milih yg bintangnya gede dan ternyata MURCEUU parah dan ENAK BGT!!:( double combo yuhu alhamdulillah🥰🥰,lebih cinta lagiii nemu nasi padang enaq di shopeefood eandom aja milih yg bintangnya gede dan ternyata murceuu parah dan enak bgt!!:( double combo yuhu alhamdulillah🥰🥰,lebih cinta lagiii nemu nasi padang enaq di shopeefood eandom aja milih yg bintangnya gede dan ternyata murceuu parah dan enak bgt double combo yuhu alhamdulillah,lebih cinta lagiii nemu nasi padang enaq di shopeefood eandom aja pilih yang bintangnya besar dan ternyata murceuu parah dan enak begitu double combo yuhu alhamdulillah;;;;;;
"Apa nama menu ini, A/B 😁😋
.
Yuk langsung order yaa 😉
.
Ojek Online Kita Stby untuk kamu biar banyak diskon
Gofood , Grabfood, ShopeeFood ,Traveloka Eats https://t.co/1JoS1ZkM22,""apa nama menu ini, a/b 😁😋";;;;;;
.;;;;;;
yuk langsung order yaa 😉;;;;;;
.;;;;;;
ojek online kita stby untuk kamu biar banyak diskon;;;;;;
"gofood , grabfood, shopeefood ,traveloka eats https://t.co/1jos1zkm22"",apa nama menu ini ab yuk langsung order yaa ojek online kita stby untuk kamu biar banyak diskon gofood grabfood shopeefood traveloka eats,apa nama menu ini ab yuk langsung order ya ojek online kita stby untuk kamu biar banyak potongan harga gofood grabfood shopeefood traveloka eats";;;;;;
"@indomeyeah aku kirain cuma aku yang kalo buka grabfood, gofood, shopeefood bingung mau makna apa scroll scroll 30 menitan lebih,""@indomeyeah aku kirain cuma aku yang kalo buka grabfood, gofood, shopeefood bingung mau makna apa scroll scroll 30 menitan le";;;;;;
Mesen shopeefood tapi tiba2 ujan deres bgt kasian drivernya😟,mesen shopeefood tapi tiba2 ujan deres bgt kasian drivernya😟,mesen shopeefood tapi tiba ujan deres bgt kasian drivernya, pesan shopeefood tapi tiba hujan deres begitu kasihan drivernya;;;;;;
@Iiquorcy baru pernah sekali pake shopeefood itupun karena tadi mau beli lauk ke warung ternyata tutup https://t.co/FvSzzCs3KF,@iiquorcy baru pernah sekali pake shopeefood itupun karena tadi mau beli lauk ke warung ternyata tutup https://t.co/fvszzcs3kf,b;;;;;;
"@carnasterion Shopeefood ada vocnya tiap harii, cek aja '-'b,""@carnasterion shopeefood ada vocnya tiap harii, cek aja '-'b"",shopeefood ada vocnya tiap harii cek aja b,shopeefood ada vocnya setiap harii cek aja b";;;;;;
"@yaemikc sbucks lg a shopeefood lg bnyak diskon sumpa, u bli ap,""@yaemikc sbucks lg a shopeefood lg bnyak diskon sumpa, u bli ap"",sbucks lg a shopeefood lg bnyak diskon sumpa u bli ap,sbucks lagi a shopeefood lagi banyak potongan harga sumpa untuk bli apa";;;;;;
"@Iiquorcy Belom pernah jajan di gofood/shopeefood, grabfood ga punya aplikasi nya😂😂 https://t.co/8k4L3oYmEU,""@iiquorcy belom pernah jajan di gofood/shopeefood, grabfood ga punya aplikasi nya😂😂 https://t.co/8k4l3oymeu"",belom pernah jajan di gof";;;;;;
@Iiquorcy mengsedih di tempatku gk ada shopeefood😞,@iiquorcy mengsedih di tempatku gk ada shopeefood😞,mengsedih di tempatku gk ada shopeefood,mengsedih di tempatku tidak ada shopeefood;;;;;;
"Kamu butuh kehangatan? wis rasah galau sik ora duwe pacar. Mie Godog Sambat siap memberikanmu kehangatan lebih dari sekedar pacar. 

Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/ngQhtGaTI7,""kamu butuh kehangatan? wis rasah galau sik ora duwe pacar. mie godog sambat siap memberikanmu kehangatan lebih dari sekedar pacar. ";;;;;;
;;;;;;
"ada di warung mbah sambat. bisa dine in/take away. bisa juga pesen lewat gofood/shopeefood. https://t.co/ngqhtgati7"",kamu butuh kehangatan wis rasah galau sik ora duwe pacar mie godog sambat siap memberikanmu kehangatan lebih dari sekedar pacar ada di warung mbah sambat bisa dine intake away bisa juga pesen lewat gofoodshopeefood,kamu butuh kehangatan wis rasah galau sik tidak duwe pacar mie godog sambat siap memberikanmu kehangatan lebih dari sekedar pacar ada di warung mbah sambat bisa dine intake away bisa juga pesan lewat gofoodshopeefood";;;;;;
@jaemcityx benerrr ); sbucks lg promo di shopeefood makjii ayo minum kopi biar ga stress karna panas https://t.co/2P2PIvPYs3,@jaemcityx benerrr ); sbucks lg promo di shopeefood makjii ayo minum kopi biar ga stress karna panas https://t.co/2p2pivpys3,benerrr sbucks lg promo di shopeefood makjii ayo minum kopi biar ga stress karna panas,benerrr sbucks lagi promo di shopeefood makjii ayo minum kopi biar tidak stres karena panas;;;;
"kalau orang bandung mah makan di sini aja, mau split blill atau engga; gaada damagenya buat dompet. kalau males keluar rumah bisa cari di shopeefood biar mamang shopeefood yg kirim. inget brader beuteung sebeuh dompet weteuh 👍 https://t.co/Twz3K8RhGE https://t.co/W4LMMk7ESR,""kalau orang bandung mah makan di sini aja, mau split blill atau engga";" gaada damagenya buat dompet. kalau males keluar rumah bisa cari di shopeefood biar mamang shopeefood yg kirim. inget brader beuteung sebeuh dompet weteuh 👍 https://t.co/twz3k8rhge https://t.co/w4lmmk7esr"",kalau orang bandung mah makan di sini aja mau split blill atau engga gaada damagenya buat dompet kalau males keluar rumah bisa cari di shopeefood biar mamang shopeefood yg kirim inget brader beuteung sebeuh dompet weteuh,kalau orang bandung mah makan di sini aja mau split blill atau engga tidak ada damagenya buat dompet kalau malas  keluar rumah bisa cari di shopeefood biar mamang shopeefood yang kirim ingat brader beuteung sebeuh dompet weteuh";;;;;
"@Iiquorcy gapernah shopeefood, gofood. ga ada dua ituu,""@iiquorcy gapernah shopeefood, gofood. ga ada dua ituu"",gapernah shopeefood gofood ga ada dua ituu,tidak pernah shopeefood gofood tidak ada dua ituu";;;;;;
"MD yuk diorder pangsit goreng spesialnya☺️
Menu+price list lainnya ada di bawah ya🤗

Yang mau order langsung DM ke @cemilan_kenyang
Tersedia di Gofood/Grabfood/ShopeeFood
Cek Instagram “macronis_food” 

Dom Malang, Jatim. https://t.co/YbBqZoZmft,""md yuk diorder pangsit goreng spesialnya☺️";;;;;;
menu+price list lainnya ada di bawah ya🤗;;;;;;
;;;;;;
yang mau order langsung dm ke @cemilan_kenyang;;;;;;
tersedia di gofood/grabfood/shopeefood;;;;;;
cek instagram “macronis_food” ;;;;;;
;;;;;;
"dom malang, jatim. https://t.co/ybbqzozmft"",md yuk diorder pangsit goreng spesialnya menuprice list lainnya ada di bawah ya yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim,md yuk diorder pangsit goreng spesialnya menuprice list lainnya ada di bawah ya yang mau order langsung dm ke kenyang tersedia di gofoodgrabfoodshopeefood cek instagram macronisfood dom malang jatim";;;;;;
driver shopeefood tu mantap joki balap semua kali ya,driver shopeefood tu mantap joki balap semua kali ya,driver shopeefood tu mantap joki balap semua kali ya,driver shopeefood itu mantap joki balap semua kali ya;;;;;;
Hari2 tggu voucher shopeefood... 🤭🤭🤭,hari2 tggu voucher shopeefood... 🤭🤭🤭,hari tggu voucher shopeefood,hari tunggu voucher shopeefood;;;;;;
baru tau yg cabang tlogo udh avail di shopeefood😩 selama ini beli minum yg cabang gajah.. https://t.co/SiaSbb8tgY,baru tau yg cabang tlogo udh avail di shopeefood😩 selama ini beli minum yg cabang gajah.. https://t.co/siasbb8tgy,baru tau yg cabang tlogo udh avail di shopeefood selama ini beli minum yg cabang gajah,baru tahu yang cabang tlogo sudah avail di shopeefood selama ini beli minum yang cabang gajah;;;;;;
@jimarryy asli pesen di gofood selalu mahal gapernah dapet potongan gede gitu🤣 shopeefood aja nanti😆,@jimarryy asli pesen di gofood selalu mahal gapernah dapet potongan gede gitu🤣 shopeefood aja nanti😆,asli pesen di gofood selalu mahal gaperna;;;;;;
"Dikantor yg sering shopeefood cuma aku, rasa2nya kok kyk pemborosan amat ya yg lain ga pernah pada order makan lewat online :(,""dikantor yg sering shopeefood cuma aku, rasa2nya kok kyk pemborosan amat ya yg lain ga pernah pada order makan lewat online :("",dikantor yg sering shopeefood cuma aku rasanya kok kyk pemborosan amat ya yg lain ga pernah pada order makan lewat online,dikantor yang sering shopeefood hanya saya rasanya kok seperti pemborosan amat ya yang lain tidak pernah pada order makan lewat online";;;;;;
"Guis baru pertama kali self pick up, untung ada bapak driver shopeefood baik ngasih tau harus ke kasir dulu. Terus diajak ngobrol ngobrol, waktu bapaknya pulang duluan pamitan juga. Lain kali pengen deh self pick up lg lebih seruuu https://t.co/MR5LnCxAFp,""guis baru pertama kali self pick up, untung ada bapak driver shopeefood baik ngasih tau harus ke kasir dulu. terus diajak ngobrol ngobrol, waktu bapaknya pulang duluan pamitan juga. lain kali pengen deh self pick up lg lebih seruuu https://t.co/mr5lncxafp"",guis baru pertama kali self pick up untung ada bapak driver shopeefood baik ngasih tau harus ke kasir dulu terus diajak ngobrol ngobrol waktu bapaknya pulang duluan pamitan juga lain kali pengen deh self pick up lg lebih seruuu,guis baru pertama kali self pick up untung ada bapak driver shopeefood baik memberi tahu harus ke kasir dulu terus diajak ngobrol ngobrol waktu bapaknya pulang duluan pamitan juga lain kali ingin deh self pick up lagi lebih seruuu";;;;;;
"@vantaefrdx di shopeefood! promonya macem-macem, ada yang satu ada juga yang dua gini. nah nanti kamu klaim gratis ongkir sama diskon 100% lagi biar nambah banyak promonya 😚 https://t.co/CMdbtEtKSr,""@vantaefrdx di shopeefood! promonya macem-macem, ada ";;;;;;
Udah klik shopeefood terus ujan...🥲,udah klik shopeefood terus ujan...🥲,udah klik shopeefood terus ujan,sudah klik shopeefood terus hujan;;;;;;
shopeefood kapan bisa sih,shopeefood kapan bisa sih,shopeefood kapan bisa sih,shopeefood kapan bisa sih;;;;;;
@canavarissaa ya ampun di sini belom ada aja shopeefood :(,@canavarissaa ya ampun di sini belom ada aja shopeefood :(,ya ampun di sini belom ada aja shopeefood,ya ampun di sini belum ada aja shopeefood;;;;;;
"@forkyhours @yunseongtampan @FOODFESS2 beli lsg bisa, gojek ada, shopeefood ada,""@forkyhours @yunseongtampan @foodfess2 beli lsg bisa, gojek ada, shopeefood ada"",beli lsg bisa gojek ada shopeefood ada,beli langsung bisa gojek ada shopeefood ada";;;;;;
Makanan di shopeefood yg enak buat buka puasa kira kira apaan?😭😭,makanan di shopeefood yg enak buat buka puasa kira kira apaan?😭😭,makanan di shopeefood yg enak buat buka puasa kira kira apaan,makanan di shopeefood yang enak buat buka puasa kira kira apaan;;;;;;
"di grabfood juga dan di shopeefood juga, masasih tutup anjir mcd,""di grabfood juga dan di shopeefood juga, masasih tutup anjir mcd"",di grabfood juga dan di shopeefood juga masasih tutup anjir mcd,di grabfood juga dan di shopeefood juga masasih tutup astaga mcd";;;;;;
Kenapa coba kfc gak ada di shopeefood whyyyy,kenapa coba kfc gak ada di shopeefood whyyyy,kenapa coba kfc gak ada di shopeefood whyyyy,kenapa coba kfc tidak ada di shopeefood whyyyy;;;;;;
"@RacunBelanja Numpang ya kak🙏
Haii.. Kamu yg di bekasi, pesan makanan di @masgitel yuk. Ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.
Cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya
�";;;;;;
haii.. kamu yg di bekasi, pesan makanan di @masgitel yuk. ada aneka ricebowl &amp; snack yummy dgn harga terjangkau dan promo lho.;;;;;
cek aplikasi gofood,grabfood, shopeefood &amp; travelokaeats kalian dan pilih menunya ya;;;;;
👇;;;;;;
https://t.co/dancl5vb55;;;;;;
"🍚🍚🙏 https://t.co/a3itd1fgnp"",numpang ya kak haii kamu yg di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dgn harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya,numpang ya kak halo kamu yang di bekasi pesan makanan di yuk ada aneka ricebowl amp snack yummy dengan harga terjangkau dan promo lho cek aplikasi gofoodgrabfood shopeefood amp travelokaeats kalian dan pilih menunya ya";;;;;;
"@plumbinq @mazzini_gsp 🤣🤣🤣👌🏻

Senja nitip lapak jualan Senja : Ricebox Wagyu, available di Jakarta dsk, bisa dipesan via GoFood/GrabFood/ShopeeFood (search : senjayummy). https://t.co/Mcig4JiZtB,""@plumbinq @mazzini_gsp 🤣🤣🤣👌🏻";;;;;;
;;;;;;
"senja nitip lapak jualan senja : ricebox wagyu, available di jakarta dsk, bisa dipesan via gofood/grabfood/shopeefood (search : senjayummy). https://t.co/mcig4jiztb"",gsp senja nitip lapak jualan senja ricebox wagyu available di jakarta dsk bisa dipesan via gofoodgrabfoodshopeefood search senjayummy,gsp senja nitip lapak jualan senja ricebox wagyu available di jakarta dsk bisa dipesan via gofoodgrabfoodshopeefood search senjayummy";;;;;;
@shopeefood_id Pengajuan shoppefood partner tidak ada kejelasan sejak juni 2021,@shopeefood_id pengajuan shoppefood partner tidak ada kejelasan sejak juni 2021,id pengajuan shoppefood partner tidak ada kejelasan sejak juni,id pengajuan shoppefood partner ;;;;;;
