Tweets,Case_Folding,Clean_Data,Tweet_Normal;;;;;;
"Ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? Katanya gara gara ngelanggar shopeefood. Bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah,""ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? katanya gara gara ngelanggar shopeefood. bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah"",ada yang pernah akun shopeenya tbtb dihapus tulisannya ditinjau ga katanya gara gara ngelanggar shopeefood bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah,ada yang pernah akun shopeenya tiba tiba dihapus tulisannya ditinjau tidak katanya gara gara ngelanggar shopeefood bingung begitu sudah padahal kan kita cuman pesan shopeefood kenapa jadi begini sudah";;;;;;
"@oohssehnn hi cwk, kirimin shopeefood donk😉,""@oohssehnn hi cwk, kirimin shopeefood donk😉"",hi cwk kirimin shopeefood donk,hi cwk kirimin shopeefood donk";;;;;;
"cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching,""cu bgt liat mas"""" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching"",cu bgt liat mas shopeefood pake jaket oren helm oren vespa oren sangat eye catching,lucu begitu lihat mas shopeefood pakai jaket oren helm oren vespa oren sangat eye catching";;;;;;
kapan di daerah gue ada shopeefood??,kapan di daerah gue ada shopeefood??,kapan di daerah gue ada shopeefood,kapan di daerah saya ada shopeefood;;;;;;
GUA MESEN SHOPEEFOOD 15 MENIT LALU UDAH NELFON ABIS NELFON DIA NGILANG GITU AJA????,gua mesen shopeefood 15 menit lalu udah nelfon abis nelfon dia ngilang gitu aja????,gua mesen shopeefood menit lalu udah nelfon abis nelfon dia ngilang gitu aja,saya  pesan shopeefood menit lalu sudah telepon habis telepon dia ngilang begitu aja;;;;;;
@shopeefood_id gorengan bakri 😊,@shopeefood_id gorengan bakri 😊,id gorengan bakri,id gorengan bakri;;;;;;
@shopeefood_id Seblak,@shopeefood_id seblak,id seblak,id seblak;;;;;;
@shopeefood_id Ikan bakar,@shopeefood_id ikan bakar,id ikan bakar,id ikan bakar;;;;;;
Pergi kl semata mata nk guna shopeefood 😔👍🏻,pergi kl semata mata nk guna shopeefood 😔👍🏻,pergi kl semata mata nk guna shopeefood,pergi kalau semata mata nk guna shopeefood;;;;;;
"shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu,""shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu"",shopeefood ini bisa difilter ga sih jadi paling deket ini nyari yg keluar km lebih semua yg dibawah km harus scroll ke bawah dulu,shopeefood ini bisa difilter tidak sih jadi paling dekat ini mencari yang keluar kamu lebih semua yang dibawah kamu harus scroll ke bawah dulu";;;;;;
@injooniees pake shopeefood coba kan ada gratis ongkirr,@injooniees pake shopeefood coba kan ada gratis ongkirr,pake shopeefood coba kan ada gratis ongkirr,pakai shopeefood coba kan ada gratis ongkir;;;;;;
"Beli shopeefood pas dateng kenapa aing nanya ""gofood ya?"" Malu dong ga fokus kebiasaan gofood atuda🤣🤣,""beli shopeefood pas dateng kenapa aing nanya """"gofood ya?"""" malu dong ga fokus kebiasaan gofood atuda🤣🤣"",beli shopeefood pas dateng kenapa aing nanya gofood ya malu dong ga fokus kebiasaan gofood atuda,beli shopeefood pas dateng kenapa saya nanya gofood ya malu dong tidak fokus kebiasaan gofood atuda";;;;;;
Apa makanan wajib kamu kalo bareng temen?,apa makanan wajib kamu kalo bareng temen?,apa makanan wajib kamu kalo bareng temen,apa makanan wajib kamu kalau bersama teman;;;;;;
"Pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “Mas aku isepin ya k*ntl nya?” WKOWKWOWKWOWKWOWKWOWKWOWKWOWKKWOWKWOWKOWWKOW,""pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “mas aku isepin ya k*ntl nya?” wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow"",pacarku cerita nganterin orderan shopeefood ke kosan maaf bencong sampe sana niatnya ramah bilangin namanya cantik kayak orangnya trus si yang order ini langsung to the point mas aku isepin ya kntl nya wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow,pacarku cerita nganterin orderan shopeefood ke kosan maaf bencong sampai sana niatnya ramah bilangkan namanya cantik seperti orangnya terus si yang order ini langsung to the point mas saya isepin ya kntl nya wkowkwowkwowkwowkwowkwowkwowkkwowkwowkowwkow";;;;;;
@jibrilss15 @jibrilbangi Syukur... done beli via ShopeeFood https://t.co/w5f34kaKf3,@jibrilss15 @jibrilbangi syukur... done beli via shopeefood https://t.co/w5f34kakf3,syukur done beli via shopeefood,syukur done beli via shopeefood;;;;;;
"KESEL BGT BELI SHOPEEFOOD LUPA NYALAIN DISKON VOC SAMA FREE ONGKIR. 

MANA JAUH SAMA MAHAL 😭😭😭😭😭😭😭,""kesel bgt beli shopeefood lupa nyalain diskon voc sama free ongkir. ";;;;;;
;;;;;;
"mana jauh sama mahal 😭😭😭😭😭😭😭"",kesel bgt beli shopeefood lupa nyalain diskon voc sama free ongkir mana jauh sama mahal,kesal begitu beli shopeefood lupa nyalahkan potongan harga voc sama free ongkir mana jauh sama mahal";;;;;;
2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,nasi padang lauk ayam sama sayur es teh cuman k shopeefood aku padamuuu huhuhuu,nasi padang lauk ayam sama sayur es teh cuman ke shopeefood saya padamu huhuhuu;;;;;;
@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,@mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan,shopeefood kalau tidak punya shopep;;;;;;
"Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll

Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V,""spaghetti aglio e olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu roa, cocok nggo ilat indonesia,  dijamin nampolll";;;;;;
;;;;;;
"ada di warung mbah sambat. bisa dine in/take away. bisa juga pesen lewat gofood/shopeefood. https://t.co/z4fogtk66v"",spaghetti aglio e olio biasa bukan spaghetti masakane simbah sing iki dimasak pake bumbu roa cocok nggo ilat indonesia dijamin nampolll ada di warung mbah sambat bisa dine intake away bisa juga pesen lewat gofoodshopeefood,spaghetti aglio e olio biasa bukan spaghetti masakane simbah orang ini dimasak pakai bumbu roa cocok nggo ilat indonesia dijamin nampol ada di warung mbah sambat bisa dine intake away bisa juga pesan lewat gofoodshopeefood";;;;;;
"Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk,""ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk"",ngakak malu banget masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk,ketawa malu banget masa pesan shopeefood kirimnya ke titik yang jelas jelas sudah tutup cabang nya wkwk";;;;;;
"barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :D keywordnya Ayam Bakar Mak Tuo Pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20,""barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :d keywordnya ayam bakar mak tuo pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20"",barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel boleh diorder ayam bakar mamaku available on grabfood gofood dan shopeefood d keywordnya ayam bakar mak tuo pasar rumput makan ditempat pun bisa lokasinya di gedung pasar rumput lt ruko,barangkali ada yang tinggal di sekitar daerah pasar rumput manggarai jaksel boleh diorder ayam bakar mamaku available on grabfood gofood dan shopeefood di keywordnya ayam bakar mak tuo pasar rumput makan ditempat pun bisa lokasinya di gedung pasar rumput lt ruko";;;;;;
Shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup,shopeefood adalah penyelamat hidup;;;;;;
Baru kali ini deh beli makanan lewat shopeefood zonk. Pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk. pesen apa yg dateng apa 😂,baru kali ini deh beli makanan lewat shopeefood zonk pesen apa yg dateng apa,baru kali ini deh beli makanan lewat shopeefood gagal pesan apa yang dateng apa;;;;;;
"Hallo @shopeefood_id bgmn sistemnya nih? Masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
Mau saya kasih rating 0 tp gak bisa ...,""hallo @shopeefood_id bgmn sistemnya nih? masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?";;;;;;
"mau saya kasih rating 0 tp gak bisa ..."",hallo id bgmn sistemnya nih masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya mau saya kasih rating tp gak bisa,halo id bagaimana sistemnya ini masa saya belum terima orderan saya tapi di aplikasi dibilang sudah complete dan diminta ratingnya mau saya kasih rating tapi tidak bisa";;;;;;
Terbaik gila Shopeefood ni. Murah pun murah. Ngam ngam aku malas masak harini,terbaik gila shopeefood ni. murah pun murah. ngam ngam aku malas masak harini,terbaik gila shopeefood ni murah pun murah ngam ngam aku malas masak harini,terbaik gila shopeefood ini murah pun murah ngam ngam saya malas masa hari ini;;;;;;
Boleh order dengan ShopeeFood dan Grabfood. Order skunk!!! https://t.co/7Jrd2QynLt,boleh order dengan shopeefood dan grabfood. order skunk!!! https://t.co/7jrd2qynlt,boleh order dengan shopeefood dan grabfood order skunk,boleh order dengan shopeefood dan grabfood order skunk;;;;;;
Mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,mari ngecek ada grabfoodshopeefood apa yg enak di cikini,mari ngecek ada grabfoodshopeefood apa yang enak di cikini;;;;;;
"JUST HAD APA YA SEMALEM BUT SOKLATTTTTTTTTT still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus I found on shopeefood 🧍 https://t.co/DYMjWS5Isd,""just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood 🧍 https://t.co/dymjws5isd"",just had apa ya semalem but soklatttttttttt still prefer the hot one kemaren coba icednya agak gimana ya kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus i found on shopeefood,just had apa ya semalem but soklatttttttttt still prefer the hot one kemarin coba icednya agak bagaimana ya seperti ada lotus lotusnya begitu apa saya hanya kebayang cheesecake lotus i found on shopeefood";;;;;;
@ShopeeCare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? Tidak sebaik dan secepat gojek pelayanan nya. Ditambah cs shopee hanya ;;;;;;
@Askrlfess Maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,@askrlfess maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,maaf nder tapi itu kayanya km bukan order shopeefood tapi bel;;;;;;
