,Created_At,Tweets
0,2021-11-06 05:31:50+00:00,syopifud tuh gak bisa ngasih tip lewat spay gt ya ke drivernya kaya gofud gitu
1,2021-11-06 04:57:16+00:00,@FFOODFESS Syopifud bisa cod ga sih?
2,2021-11-06 04:50:18+00:00,"home alone, apakah saatnya party? voucher syopifud masih banyak~~"
3,2021-11-06 04:17:40+00:00,Ternyata kl jd anak kosan pakenya syopifud pdhl kl di rumah males krn either hrs spay atau cash dan aq susah isi spay
4,2021-11-06 02:52:20+00:00,"Selamat pagi, dari diskon syopifud 💃✨ https://t.co/gSJ3UFxXpz"
5,2021-11-06 02:39:47+00:00,kapan ya bisa nyobain syopifud :(
6,2021-11-06 01:58:29+00:00,syopifud gaada diskon 100 persen tanpa maksimal kah
7,2021-11-06 01:56:20+00:00,@not_urbabygirI Yahh di syopifud gaada 🥲
8,2021-11-05 14:46:46+00:00,ayam bakar segini 3k thanks syopifud😭 https://t.co/7E6WHPQG8P
9,2021-11-05 13:16:52+00:00,Voucher syopifud yg min belanja 20k dah ga ada ya
10,2021-11-05 13:16:51+00:00,Driver syopifud benar2 memancing emosi
11,2021-11-05 13:08:11+00:00,@nanajigeum @poeticdreamy benerrr ;____; hapal betulll udah bestie bgt sama syopifud 🤣🤣🤣
12,2021-11-05 13:01:32+00:00,@poeticdreamy @nanajigeum syopifud lebih murah order sendiri2. diskon promonya lebih berasa 😭🙏🏻
13,2021-11-05 11:23:59+00:00,"aku nyobain menu baru nya menantea, ENAK BANGET 🤤 
mau nyobain yg caramel milk tea tp di syopifud stok nya habis 😭 https://t.co/Z6cl6p9mqL"
14,2021-11-05 10:04:10+00:00,@_mcspicyyy Ay sumpa gue jg syopifud bingung lapor kmn ya udh berkali2 kecewa tp bingung wkwk
15,2021-11-05 10:01:07+00:00,makasih syopifud https://t.co/rW1TUOaJGG
16,2021-11-05 09:46:10+00:00,"@asmaraIojka kamu fix kalah, soalnya habis buat syopifud"
17,2021-11-05 08:22:22+00:00,syopifud gue ga dateng2 ni abangnya nyasar kali y
18,2021-11-05 08:09:57+00:00,"aku beli xiboba dua biar dpt diskon aja soalnya beli satu rugi, gws minum boba dua hari berturut turut. anw thx syopifud buat voucher haha"
19,2021-11-05 08:02:28+00:00,PLIS KAPAN YA DISINI ADA SYOPIFUD... T u T
20,2021-11-05 06:09:03+00:00,@ttomiad @stanmenfess malang????gaonok syopifud???? jare kota besaaar huuu
21,2021-11-05 05:46:18+00:00,Syopifud nih emang agak lama ya ://
22,2021-11-05 02:01:42+00:00,orang kantor jd pada berguru make syopifud semua ke aku abis ku kasi tau klo syopifud murah2 😮‍💨
23,2021-11-04 23:39:36+00:00,knp si kfc gaada di syopifud
24,2021-11-04 22:52:45+00:00,"@bertanyarl mau masak, mau jajan pake syopifud, mau nonton drakor, mau belajar"
25,2021-11-04 13:07:17+00:00,bener bener inimah syopifud dan hujan bikin ndutt :(( https://t.co/V2YkfDfAop
26,2021-11-04 12:51:25+00:00,"aku syukuran ampe nge syopifud pijahat 🥺🥺💚 

berprilaku konsumtif berkedok syukuran #Favorite1stWin https://t.co/015VPBt1Yu"
27,2021-11-04 12:23:01+00:00,"Diliat liat kayak jaket syopifud 

I vote #superjunior for #MAMAVOTE 
@SJofficial https://t.co/NBrh5hCXgc"
28,2021-11-04 12:22:15+00:00,@ofGofud Jadi apa? Syopifud?
29,2021-11-04 09:31:12+00:00,@FFOODFESS Nder syopifud yg promo beli 2 bayar 1 menu yg mana? Barusan ngecek disana cuma ada free es teh
30,2021-11-04 08:39:13+00:00,@jiepocas syopifud saja
31,2021-11-04 08:37:16+00:00,@adesukmaaa Kembali lagi dengan tema syopifud 😭😭
32,2021-11-04 08:02:39+00:00,"Jog seblak bloom ada varian level pedasnya ga ya? Sampe brpa? Aku mau order di syopifud tapi ga ada keterangan pedas disitu, makasih sebelumnyaa"
33,2021-11-04 06:46:06+00:00,"@txtdarionlshop Sales syopifud emg kadang NGACO kalo nulis menu! 
Fast respon pas mau gabung giliran mau anulir menu aja lama bgt bahkan sampe skrg ga di respon!"
34,2021-11-04 05:19:20+00:00,"Ada promo apa di gofud, grabfud, dan syopifud???"
35,2021-11-04 03:54:04+00:00,"Mengikuti anjuran pemerintah hari kamis menggunakan pakaian adat, tapi tenang saja kami syopifud tetap akan melayani anda, yuk pesen apa siang ini 😭😭 https://t.co/kTgtErivuG https://t.co/YWVImYYLMK"
36,2021-11-04 03:43:16+00:00,Ayam goreng tulang lunak Bengawan kok ngga ada di syopifud ya
37,2021-11-04 02:03:36+00:00,lumayan buat jajan es di syopifud hehe https://t.co/pm4O2tDpmW
38,2021-11-04 01:46:39+00:00,@FOOD_FESS kok cari di syopifud selalu gaada yah:(
39,2021-11-03 17:22:58+00:00,Ini syopifud udah bakar brp duit ya
40,2021-11-03 13:50:40+00:00,Mager level aku : pesen seblak belakang perumahan pake syopifud 🙂
41,2021-11-03 13:42:05+00:00,IHH MALES BANGET ABIS BELI VOUCHER SYOPIFUD TP TAU TAUNYA ITU CUMA BERLAKU DI BBRAPA KOTA DOANG DAN KOTAKU GA TERMASUK
42,2021-11-03 12:14:22+00:00,@FOODFESS2 tim syopifud timbel komplit cuma 9500 wkwk https://t.co/qQh83ub84h
43,2021-11-03 11:34:46+00:00,@trecusi Syopifud?
44,2021-11-03 11:29:16+00:00,-11fess saran makan murah di syopifud
45,2021-11-03 09:41:22+00:00,@jungkooksbt SYOPIFUD VOUCHERNYAA MANTEPP BAT EMANG WKWKWK
46,2021-11-03 08:44:18+00:00,@acipanser @gembrit Iya barusan check di Syopifud ada di sana 🥺
47,2021-11-03 06:19:56+00:00,mau order syopifud masih maju mundur soalnya cuma diskon 70% maks 20k hhh
48,2021-11-03 05:46:30+00:00,"@musthave_it Iyaahh, apalagi syopifud kan baru nih di Bali, jadi jaketnya masih baru2 juga hahahaha"
49,2021-11-03 05:25:57+00:00,"@tweetaje_aje Hahaha bagus sii sebenernya, cuman gara2 sama kek syopifud aja kak"
50,2021-11-03 04:33:03+00:00,Sdf! Aku pengen pesen makan siang di syopifud. Enaknya pesen makan apa yaaa:(
51,2021-11-03 04:17:00+00:00,@vizsup Hahahaha cocok jadi driver syopifud? 😂😂
