,Created_At,Tweets
0,2021-11-13 08:19:29+00:00,@laedynoir Di tempatmu belum ada syopifud kaaah? :(
1,2021-11-13 05:56:20+00:00,"gregetan banget syopifud makdi, minimal 40k baru dapet diskon sdgkn harga mealnya 33k udah include minuman sm eskrim 😭😭😭 nanggung amat sie"
2,2021-11-13 05:37:10+00:00,@laedynoir Tadi aku baru liat di syopifud ada sih ternyata. :D
3,2021-11-13 05:21:23+00:00,@FOOD_FESS Blm ada syopifud😭
4,2021-11-13 04:21:07+00:00,@bstradam_ @jogmfs ehem mas2 syopifud
5,2021-11-13 03:55:24+00:00,"Bisa nyobain kuliner umkm sekitaran tanpa harus keluar rumah, dan ga bikin dompet menangis yg pasti. I love syopifud 😻😂😅"
6,2021-11-13 01:56:15+00:00,Mau sarapan nanggung banget bentar lagi ke kantor. Entar lah syopifud aja di kantor.
7,2021-11-13 01:31:06+00:00,"-rek kalo kalian suka bgt pesen makanan lewat ojol, diskon nya yang oke mending grabfud atau syopifud?"
8,2021-11-12 21:24:20+00:00,"semoga kamu nemu diskonan best deal di gofud/syopifud, semoga kamu dan crush cepet jadian, semoga kamu nggak perlu ke bioskop/museum/bazar sendirian, semoga nama kamu nggak ditunjuk dosen buat jawab pertanyaan pas kamu lagi nggak prepared"
9,2021-11-12 16:54:51+00:00,@nvjaemine syopifud ya?
10,2021-11-12 13:05:25+00:00,"gaes mau nanya 🥺 kalo mau batalin syopifud, spay nya bakal balik lg nggak ya? 🥺"
11,2021-11-12 12:46:44+00:00,Jajan syopifud teroossss
12,2021-11-12 12:46:43+00:00,@callmenduts Aku cuma pake voucher voucher syopifud aja seh. Klo yg seribu ya gatau jg 😳
13,2021-11-12 12:40:27+00:00,Syopifud driver nya pada kemana nih gada yang mau ngambil sad
14,2021-11-12 12:32:42+00:00,Baeseungmin kalo jd driver syopifud https://t.co/9ciuXbkuvc
15,2021-11-12 12:28:13+00:00,drtd msh nyari driver huhu ayo mamang syopifud diambil yu aku pgn dimsum bgt😭😭 https://t.co/6MMcZaxC2B
16,2021-11-12 12:14:41+00:00,"terpujilah mas/mba syopifud yang mau ambil orderan hujan-hujan gini...
pasti ga cuman aku yg menggigil dan enter wind di cuaca kayak begini 😭"
17,2021-11-12 11:21:26+00:00,Baru kali ini beli makan di syopifud pesenanku kuranggg. Mau marahhhh:(
18,2021-11-12 10:22:25+00:00,"Kak syopifud q kejebak di veteran,,, macyet,,, https://t.co/DJRpz3xweB"
19,2021-11-12 09:10:01+00:00,Oyi saran lapak salad buah yang rekomen dong di grabfud/gofud/syopifud. Suwun rek
20,2021-11-12 07:22:12+00:00,"@kuecubityummy ""kopinya kak kopinyaaaaa""
tu syopifud lu yg ngomong"
21,2021-11-12 07:10:12+00:00,"@eiine Gilak sih syopifud,cinta bangett🥺"
22,2021-11-12 06:20:20+00:00,@larasjeann Memang syopifud paling keren
23,2021-11-12 04:26:23+00:00,"@jogmfs nyantol ni barusan syopifud. tak suruh neduh dulu kalau hujan, eh bapaknya malah semangat banget. katanya demi konsumen😭😭"
24,2021-11-12 04:25:28+00:00,@eoriin huhu aku cuma punya syopifud huhu
25,2021-11-12 04:02:07+00:00,Voucher syopifud cuma bisa dipake 1x sehari ya guis ? Mau pesen makanan untuk sekarang sama nanti siang pakai voucher hikz takut gabisa :(
26,2021-11-11 17:02:01+00:00,godaan pesan syopifud semakin besar🙂 https://t.co/xzh4Zkiuam
27,2021-11-11 14:19:24+00:00,"Syopifud ancen terbaik. Ndang onok di probolinggo wes, isok e mek pas mbalek malang tok :("
28,2021-11-11 14:13:20+00:00,"Monangessss pesen makan di syopifud dari setengah 9 ga dpt driver loading terus. Trus ke gofud,yg dipengenin ga buka. Eh ke grabfud malah pesen nasi babi tore🤣🤣🤣😭 padahal awalnya cuma pengen nasgor krengsengan 23rb ajaaa malah babi tore 65rb😭🤦‍♀️"
29,2021-11-11 13:55:16+00:00,"Morgans kebab deket kosan rame betul sama ojol2, apalagi syopifud wkwk"
30,2021-11-11 13:38:30+00:00,hdh hdh banyak promo tp app nya lag mulu wkkw buka syopifud aj lama bnr hhhh
31,2021-11-11 13:29:14+00:00,Hari hari ditolak syopifud 😤
32,2021-11-11 13:12:55+00:00,kebiasaan bgt deh kaka gau kalo beli gofud atau syopifud ga bilang orang rumah. kan kalo gt jadi gatau boleh langsung makan apa engga
33,2021-11-11 13:12:23+00:00,"Si dimas iki endeell puooooll keakean polaahh

Btw mas jamal dah makan blm? Syopifud lg diskon banyak mas https://t.co/HTij19v7io"
34,2021-11-11 13:11:06+00:00,syopifud overload kyknya nih
35,2021-11-11 12:49:46+00:00,"Pesen burger bangor di syopifud udah mau 1.5jam ga dateng2, kesian drivernya nunggu lamaa :("
36,2021-11-11 12:48:51+00:00,@isuchae order gofud / syopifud aja
37,2021-11-11 12:41:54+00:00,"syopifud kenapa si coq, aku order makan udah hampir 2 jam gaada yang mau pickup, deket padhal. laperr 😭"
38,2021-11-11 11:51:35+00:00,Emang yang paling enak tuh ya ditraktir hehe alhamdulillah gajadi keluar uang buat jajan walaupun promo syopifud menggiurkan~
39,2021-11-11 11:47:22+00:00,@leleliauw syopifud banyak promo kak
40,2021-11-11 11:44:40+00:00,Aku gatau mau beli apa daripada nyari2 yauda syopifud aja😀 lumayan ni voucher 70% + gratis ongkir ahahah mwahh https://t.co/HxILBQCipV
41,2021-11-11 11:17:04+00:00,@winchivaaree1 gass kak di syopifud
42,2021-11-11 11:09:14+00:00,@gdluckcongrats syopifud ca wkwk sudaah yaa semangat !!
43,2021-11-11 11:05:02+00:00,kenapaa di jember gada syopifud
44,2021-11-11 10:40:28+00:00,@belommikirin Pake syopifud yaaa ih mawww
45,2021-11-11 10:02:59+00:00,"Mengapa yaa suamiku pandai kali dia dalam menemukan makanan enak dan murah di gofud atau syopifud, kok aku indak pandai dalam hal macam itu🥲🥲🥲

Terimakasih pak suami❤"
46,2021-11-11 09:15:56+00:00,Ini silahkan yg mo promo syopifud https://t.co/mGl29wmyat
47,2021-11-11 08:57:28+00:00,gue nungguin ini ready stock di syopifud sama di gofud LAMAAAA bgt. tapi worth it banget gue nungguin lama 🥰😻 https://t.co/qIZ2z83wlr
48,2021-11-11 08:36:28+00:00,@vganitas Betul. Abis gini masih pengen jajan syopifud 🙂
49,2021-11-11 08:06:15+00:00,@gawlgadoet pke syopifud aja
50,2021-11-11 07:48:45+00:00,@aldistadiva Dikirimin syopifud haha
51,2021-11-11 07:38:34+00:00,"tadi pesen syopifud dapet driver cewe eh yg nganter si cewe tp diboncengin cowo, kayanya mereka pacaran deh ko gemes lucu 😭"
52,2021-11-11 07:29:51+00:00,@sbyfess Aku ket mau yo scroll syopifud tp gak ndang di co 🤣
53,2021-11-11 07:27:14+00:00,babi ini syp yg pesen syopifud ke alamat rumahku
54,2021-11-11 07:22:50+00:00,"Tadi lama nungguin syopifud ga dapet² drivernya, eh pas nyoba gr4b langsung dapet wkw mayan buat makan siang - makan malem jog , selamat makan! https://t.co/lgaGYWTmRd"
55,2021-11-11 07:02:53+00:00,Udah gini masih pengen syopifud. 💔💔💔💔 https://t.co/SSWXNF9tWU
56,2021-11-11 06:39:31+00:00,order syopifud 3x gofud 3x gadapet” driver. aku sabar 🥲
57,2021-11-11 06:23:11+00:00,"syopifud emg paling lancar bikin miskin, ada diskon 11.11 70% sampe 35rb yakali ga jajan 😭😭"
58,2021-11-11 06:14:55+00:00,gw lupa ada kelas gara2 drtd mantengin syopifud
59,2021-11-11 06:02:11+00:00,"Dari tadi mesen syopifud ga ada driver yg ngambil :"""
60,2021-11-11 06:00:05+00:00,"Jog ada yg bisa mesen syopifud ga e? Ini aku dari tadi order drivernya ga ngambil² :"""
61,2021-11-11 05:57:13+00:00,ni syopifud gada yg mau pick up w laper ajg
62,2021-11-11 05:53:01+00:00,@DarkestEspresso syopifud bakar duit 💸💸💸
63,2021-11-11 05:52:50+00:00,syopifud aing lama bgt yaallah nyasar apa abangnya
64,2021-11-11 05:47:04+00:00,Jog syopifud dan gofud ga ada yg mau ngambil ya ini? :(
65,2021-11-11 05:35:27+00:00,HBNGGGG kenapa ga nemu driver syopifud 😔😔😔😔😔😔 sy laper tak tertolong
