,Created_At,Tweets
0,2021-11-09 13:47:57+00:00,Ndes disini ada yg pake syopifud ngga? yg udh ga pake gofud/grab lagi. aku mau tanya tanyaa
1,2021-11-09 13:26:43+00:00,-rek sekarang resto/tempat makan di syopifud/gofud/grabfud udah boleh buka sampe di atas jam 9 kah?
2,2021-11-09 12:28:52+00:00,Segala keributan Hakan Calhanoğlu ne jd bikin pengin makan kebab. xixixi. Powered by syopifud. Spesial jumbo 2 bijik molasewu. asiiq~
3,2021-11-09 12:03:35+00:00,Waktu itu pernah soalnya gue bandingin hasil akhir nominal antara via GOfud ama Syopifud di resto dan orderan yang sama. GOfud jauh lebih mahal dua kali lipat kalo gasalah 😬 https://t.co/FZsmyLHowu
4,2021-11-09 11:40:07+00:00,fess cara mesen donat madu cihanjuang di syopifud tuh pilihan toppingnya kita tulis sendiri di notes apa random? terus topping yang enak apa aja? maap baru pertama kali 👉👈 https://t.co/enr2uNU9vX
5,2021-11-09 10:14:09+00:00,Yallah bisa2nya ngga sadar tiap hari pesen syopifud!! Stop mulai hargai masakan rumah ajalah🥺
6,2021-11-09 06:10:58+00:00,@blusheky Syopifud buat aku saja sabi sie moots
7,2021-11-09 06:10:40+00:00,"pesen di syopifud, kang ojolnya pake jaket grab, makanannya dikasih selotip goput https://t.co/WcZqf1pszz"
8,2021-11-09 06:03:50+00:00,Bingung mau syopifud apaan
9,2021-11-09 05:11:31+00:00,Cek syopifud buru https://t.co/GW9wBMpaY3
10,2021-11-09 05:02:49+00:00,Coba cek syopifud deh banyak pilihannya https://t.co/u1Vrcu0Hkr
11,2021-11-09 05:02:13+00:00,@joaemcityx Cek syopifud gih
12,2021-11-09 04:58:05+00:00,Langsung eksekusi syopifud.
13,2021-11-09 04:57:51+00:00,"@chigarr_cityx Cek gofud, syopifud, grebfud aja kalau gitu"
14,2021-11-09 04:56:48+00:00,@reinesturn Coba cek syopifud atau gofud aja
15,2021-11-09 04:55:33+00:00,@olivbigwin Hmm yaudah coba cek syopifud banyak pilihannya
16,2021-11-09 04:15:53+00:00,"Duh anjir mau gimana lagi, makanan di syopifud adanya ayam semua https://t.co/cNSPxq6mFL"
17,2021-11-09 02:38:21+00:00,"Mesen syopifud @ShopeeID dan gofud @gofoodindonesia barengan. Gofud udah sampe, syopifud pas ditelpon abangnya lagi mandi. Buset dah wkwk"
18,2021-11-09 01:32:21+00:00,@ofGofud kita mau ganti konsep ya? jadi syopifud? atau grabfud? :)
19,2021-11-09 01:18:53+00:00,"berkat syopifud gue yg low budget ini bisa makan sampe kenyang bgt cuma 19k, pdhl dulu gue underestimate bgt ke syopifud🤧"
20,2021-11-09 00:33:09+00:00,"@bertanyarl kl shopee bs tentuin titik semau kita, jadi harus detail dmn titiknya. aku biasa ngirim barang si ke doi, kl syopifud belom pernah nyoba. nanti ku coba😆"
21,2021-11-09 00:19:06+00:00,@FOOD_FESS Syopifud Promo 60% nya mantul bgt https://t.co/aFQvLFeeLH
22,2021-11-09 00:07:48+00:00,"@FOOD_FESS Kalau kamu beli makan buat diri sendiri, syopifud/travel0ka eats paling mantep nder"
23,2021-11-08 23:14:21+00:00,@FOOD_FESS Syopifud
24,2021-11-08 23:13:42+00:00,@FOOD_FESS syopifud
