,Created_At,Tweets
0,2021-11-07 07:53:00+00:00,"Daritadi buka tutup apps grabfood - gofood - shopeefood bingung mau beli makanan apa...
Palingan ujung ujungnya ayam geprek lagi🥲"
1,2021-11-07 07:49:56+00:00,Mau kurus tp gabisa ga liat grabfood/shopeefood:)
2,2021-11-07 07:47:29+00:00,@butjinSMGG Ditempatku ngga ada shopeefood
3,2021-11-07 07:35:47+00:00,@sarahysdwt Kami bersama shopeefood 🥲🤚🏼
4,2021-11-07 07:29:50+00:00,@febiads Kalo kerja aku hampir shopeefood 3x
5,2021-11-07 07:29:40+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/UKs6E7pWge https://t.co/85J9Rn8PcF
6,2021-11-07 07:29:03+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/5fmT5zMzyv https://t.co/R6Dcj9SIoj
7,2021-11-07 07:23:18+00:00,"Seharian naked, pake baju cuman buat ambil shopeefood ✌️"
8,2021-11-07 07:19:47+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/h4IrMgsBky
9,2021-11-07 07:19:30+00:00,@deJzxxx @shopeefood_id abdul w tndain yh loe..
10,2021-11-07 07:17:28+00:00,Gara gara ga ada shopeefood jadi susah makan di sini 🥲
11,2021-11-07 07:14:40+00:00,@deJzxxx @shopeefood_id xialan ketiduran  😭
12,2021-11-07 07:11:27+00:00,"gabakal lg beli makanan/ minuman lewat shopeefood. drivers are super rude, nyerobot jalan sampe hampir nyerempet, di klakson malah kasih jari tengah wkw. Too bad i’m driving &amp; not holding my phone around to record/ photo. Kejadian di jogja🙂"
13,2021-11-07 07:08:46+00:00,"Klop banget, habis makan yang pedass, lanjut yang maniss!!! 😋
.
Yuk order Geprek Bensu, banyak banget promo yang bisa kamu nikmati loh🤩
.
Bisa datang ke outlet Geprek Bensu langsung atau order via Grabfood, Gofood, Shopeefood &amp; EatsbyTraveloka ya😉
.
#geprekbensu #opp https://t.co/WiOv6K7Xw3"
14,2021-11-07 07:05:56+00:00,"Mau pesen shopeefood gaada saldo anjirrrt, mcd 10k doangan padahal??"
15,2021-11-07 07:05:33+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/EdM7CmIqRv https://t.co/4i3TIRjmSp
16,2021-11-07 07:04:59+00:00,"@ezash @hrdbacot Ada ada aja 😂😂😂

SPESIAL HARI INI! Beli ricebox apapun di Senja dapet FREE 1 ricebox lagi, sila order via GoFood/GrabFood/ShopeeFood (search : senjayummy) pake notes : Senja Bday. Khusus area Jkt dsk ya! https://t.co/37nFt2OR9w"
17,2021-11-07 07:04:35+00:00,"@dwikimic Ngomongin lapar, Senja punya solusi ni!

SPESIAL HARI INI! Beli ricebox apapun di Senja dapet FREE 1 ricebox lagi, sila order via GoFood/GrabFood/ShopeeFood (search : senjayummy) pake notes : Senja Bday. Khusus area Jkt dsk ya! https://t.co/bHphXeJaaL"
18,2021-11-07 06:54:24+00:00,"males dah kalo nyoba nyoba resto shopeefood yg blm pernah makan, zonk mulu 😩 tp bosen jg makan itu itu aja hm"
19,2021-11-07 06:46:23+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/hdT3LSqBZh https://t.co/gSESwxvteX
20,2021-11-07 06:44:40+00:00,"@ShopeeID shopee kalian kasih maps di shopeefood salah terus deh kayanya.
kurir kesulitan tiap cari alamat"
21,2021-11-07 06:40:57+00:00,@tkgjajan24per7 Belum pernah beli shopeefood
22,2021-11-07 06:39:39+00:00,"Promo....
Hanya di Ni Boba BRAWIJAYA - MOJOKERTO
Silahkan cek di :
#GrabFood #GoFood #ShopeeFood

#1111BigDeals #ShopeePay #shopeeID
#PromoShopee #PromoShopeePay #InfoPromo
#ShopeeFood
#KirimTandaSayang
#GrabYourGifts
#Makathon
#GrabFoodMulai10rb
#GoFoodinAja
#Gojek11Tahun https://t.co/D4sXF7VRT8"
23,2021-11-07 06:38:56+00:00,cemilan enak yg ada di shopeefood apa ya
24,2021-11-07 06:38:41+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/PruzemGiAQ https://t.co/f6cOeP0cUo
25,2021-11-07 06:35:57+00:00,@deJzxxx @shopeefood_id bohong! masnya cuddle pasti
26,2021-11-07 06:34:46+00:00,"Ya ya ya ya kutauji di grabfood dan gofood buka, tapi di shopeefood promonya lebih mantap 🙂👍🏼"
27,2021-11-07 06:33:00+00:00,"tidak menerima diingatkan makan, hanya menerima kiriman grabfood/gofood/shopeefood"
28,2021-11-07 06:31:50+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/46toc9i2KJ
29,2021-11-07 06:31:47+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/w3XYgaaFF2 https://t.co/HpJnhZ949h
30,2021-11-07 06:31:38+00:00,@dylanxlonjwin Lagi pulkam ke Pemalang &amp; disini gada gojek/shopeefood gitu https://t.co/koqK3sRVBW
31,2021-11-07 06:30:23+00:00,"Yuks Klik guys biar dapet vouches shopee bareng bareng
Makan Gratis Bareng Teman di ShopeeFood https://t.co/cUKWavpNza https://t.co/qhjtRm2e8p"
32,2021-11-07 06:29:14+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ryngdsV11V https://t.co/6sGxiK8TMY
33,2021-11-07 06:28:21+00:00,@SitiMar04425495 @shopeefood_id ditelfon ga di angkat. wa ceklis. hmm
34,2021-11-07 06:27:09+00:00,@deJzxxx @shopeefood_id Ga telpn kak chatt juga bisa ko
35,2021-11-07 06:24:54+00:00,"Makan Gratis Bareng Teman di ShopeeFood

https://t.co/ZP8MS7RDyq"
36,2021-11-07 06:24:34+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/00nnmHTaUu
37,2021-11-07 06:22:53+00:00,@MatchaLawson @shopeefood_id kira kira lo kerja pas smartswitch bisa ga ya alesan ktduran? wkwk
38,2021-11-07 06:21:59+00:00,@deJzxxx @shopeefood_id Bisa bisanya ketiduran
39,2021-11-07 06:19:39+00:00,@cobainhazelnut @shopeefood_id omelin gih
40,2021-11-07 06:18:36+00:00,"@TxtSerang Ih kaya satpam di kantor, aku dimintain no telpon  terus aku ga kasih sekarang kalo pesen shopeefood atas namaku gamau diterima hft 🥲"
41,2021-11-07 06:16:50+00:00,@SitiMar04425495 @shopeefood_id agak ribet si telfon cs dl. btw ak lgi main ml sengaja di tinggal biasanya kalo pesen. pas bngt segame di chat baru bls ehehe
42,2021-11-07 06:14:01+00:00,"Tabe tidak adakah yang mau order shopeefood di sekitaran tallasapang 😄, saya driver menunggu orderan ta :)"
43,2021-11-07 06:12:33+00:00,@xaapinkyy pake shopeefood xixixi
44,2021-11-07 06:11:26+00:00,"baru pertama kali pake shopeefood mayan bgt diskonan nya, jatohnya w cuma bayar ongkir 2rb… 🤧🤧"
45,2021-11-07 06:08:35+00:00,"Order shopeefood kantoi dengan papa, sebab rider call papa😭 nasib baik papa tak tanya beli apa🥲"
46,2021-11-07 06:06:53+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/JmfYby3lkt
47,2021-11-07 06:05:15+00:00,"dapet, ujan, dan hasrat membeli kopi dr shopeefood sangat tinggi. tp ujan. ksian masnya. tp pengen. tp ujan. trs td ada yg foto mcflurry. pengen jg. tp ujan. tp pengen."
48,2021-11-07 06:04:38+00:00,apa cuma ak yg gaperna pke shopeefood?
49,2021-11-07 05:58:50+00:00,"Mending beli apa yaa di shopeefood, beri ak rekomendasi"
50,2021-11-07 05:58:46+00:00,Driver shopeefood hari minggu itu cucok cucok wkwkwkw
51,2021-11-07 05:57:46+00:00,"Weekend list:
-bangun siang
-tidur lagi
-nyari shopeefood
-makan
-nyuci baju
-mandi durasi sejam
-tidur lagi
-nyari boba
Selama itu play playlist spotify lagu codplay wkwkwkk"
