,Created_At,Tweets
0,2021-10-28 06:06:20+00:00,"abang abang syopifud di semarang lagi pada wfh

work from hell alias semarang panas e koyo neroko jancok"
1,2021-10-28 04:36:42+00:00,"Jd temen w tuh driver baru syopifud nah kemarin minta bantuan revisi laporan trus tbtb doi on aplikasinya dah tau ya kl on app malem2 pasti tetep dapet orderan tp doi ga percaya anjer wkwk eh taunya bener ada orderan masuk mana laporan dia blm selese direvisi semua, trus jd buru2"
2,2021-10-28 04:25:41+00:00,Gegara syopifud w jajan terosss 🥲
3,2021-10-28 02:59:07+00:00,lol akunku diblokir beneran gara2 penyalahgunaan vocer syopifud😂😂😂😂😂😂😂🙂🙂🙂🙂
4,2021-10-28 02:31:10+00:00,"@maspras_ Semoga bisa dapet, soalnya mau dipake buat pengaktifan akun syopifud biar bisa ngojek lg 🙂"
5,2021-10-28 02:27:12+00:00,"beli bakso porsi lengkap + kikil di tambah es degan jumbo cuma 11k
syopifud ai lop yu dehhh https://t.co/lNBPgDtcuy"
6,2021-10-27 18:36:42+00:00,Dah kaya syopifud yaa kak meng https://t.co/BmmRmHvck8
7,2021-10-27 17:01:18+00:00,@elcaeera syopifud deh pasti bisa!
8,2021-10-27 15:44:40+00:00,"Baru kali ini gw pesan makanan resto lewat syopifud dapat sadfood. Padahal bintangnya 4,7 banyak disukai. Pas datang, loh penampilannya kayak abang2 keliling, rasanya hambar, nasinya rada kering. Malah lebih enak abang2 keliling, porsi banyak, komplit pke acar n krupuk,hrg murah."
9,2021-10-27 15:31:07+00:00,"@nyahyuck Ini punyakuuu mana punyamu 🥰🥰🥰

Kok sama sih pesennya pake syopifud https://t.co/ud87SlumTA"
10,2021-10-27 14:12:03+00:00,"kerja di syopi bagian syopifud, my responsibility is klaim voucher plus checkout makanan 😭👍🏻🙏🏻"
11,2021-10-27 13:54:34+00:00,"Bahaya bgt ini di kost bareng adek, jadi jajan syopifud terus ampe pen gumoh sendiri liat makanan. Mana kembung aer😭"
12,2021-10-27 13:04:54+00:00,"Giliran dah di ibu kota, ujan muluuuu. Ampe mau pesen syopifud ga tega💔"
