,Created_At,Tweets
0,2021-11-06 05:36:49+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/Z9WVVdsD7O https://t.co/A963IzHB1C
1,2021-11-06 05:34:37+00:00,"#shopefood 
#ShopeeID
 Makan Gratis Bareng Teman di ShopeeFood https://t.co/ICc1eWB5Ui https://t.co/gzptEBreJk"
2,2021-11-06 05:34:09+00:00,"Kalo di rumah suka pesen grapfud, gofud, dan shopeefood dan alamat rumah udh ak jdikan titik pengiriman
Biasanya kalo d grb/gjk, pilih makann - klik pesen, udah deh..psenn diantar sesuai dg titik rumah.."
3,2021-11-06 05:33:55+00:00,@NayangNu mau dong tpi di shopeefood gk ada nasi padang 😭
4,2021-11-06 05:33:42+00:00,yaudah akuu shopeefood sj:)
5,2021-11-06 05:31:49+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/BL3VRl0M3U
6,2021-11-06 05:31:32+00:00,"@NayangNu belum makan. mauuu, tapi di akj gaada shopeefood :("
7,2021-11-06 05:31:08+00:00,"@NayangNu lagi rebahan aja kak, belum makan hehe. kak fina gimana? 

disini gaada shopeefood, adanya gofood/grabfood 😓"
8,2021-11-06 05:30:49+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/nq60lkY5xh https://t.co/T9pgJTDT5n
9,2021-11-06 05:30:39+00:00,@NayangNu Di aku ga ada shopeefood😭
10,2021-11-06 05:29:53+00:00,"Kalian lagi apa? 
Aku lagi gabut👉👈
Sudah makan belom?
yuk sini ku krim shopeefood..
Mau?"
11,2021-11-06 05:28:36+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/rUgzMWSbd6 https://t.co/FjbGBbPVRT
12,2021-11-06 05:27:34+00:00,Lesgoo voucher sopefud biar bisa jajan mcd 10rb😂😂 Makan Gratis Bareng Teman di ShopeeFood https://t.co/SkQY00Wcl6
13,2021-11-06 05:26:45+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/pcM1Mq7q0E https://t.co/ZulR0o2TbB
14,2021-11-06 05:26:42+00:00,"@saraastr Ayo ngopi terus yok, kita coba semua kopi di shopeefood"
15,2021-11-06 05:26:42+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/4ETcdrEJdK https://t.co/Z8DRdIOls9
16,2021-11-06 05:22:50+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/IvURdGSee1
17,2021-11-06 05:22:26+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/Jt8TrtVnCp https://t.co/l1tUsVS50z
18,2021-11-06 05:21:01+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/LgVKpSY1kK https://t.co/lHtSq4uR7U
19,2021-11-06 05:19:07+00:00,Makan Gratis Bareng Teman di ShopeeFood #ShopeeID #shopeetanam https://t.co/Ncn008557E https://t.co/IBUCQpvsnS
20,2021-11-06 05:18:15+00:00,reviewnya menjanjikan sekalian pengen coba danish coklat belepotannya kata orang orang enak bgt jadi langsung cus shopeefood🏃‍♀️🏃‍♀️🏃‍♀️ https://t.co/PqlbWkQjPi https://t.co/MXBKmJ0vqy
21,2021-11-06 05:18:06+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/WHtia2jfiX https://t.co/CSP3Nif8Kq
22,2021-11-06 05:17:50+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/vWKjxJfi6X https://t.co/njHPaYdpX6
23,2021-11-06 05:17:49+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/Yg5WB9Onrb https://t.co/JrwAHhRoF0
24,2021-11-06 05:16:30+00:00,pls ini kalo spay gua lagi banyak laper mata mulu nge shopeefood terus😃
25,2021-11-06 05:15:29+00:00,"Pertama kali guna Shopeefood, lagi murah dari yang lain sebab banyak diskaun dan boleh bagi tips dekat driver. Cuma tak banyak pilihan kedai 😔 https://t.co/RTJUBMrCu5"
26,2021-11-06 05:15:05+00:00,Kapan ya shopeefood hadir di countryside ini 🥲
27,2021-11-06 05:14:55+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/22RXajOyZh https://t.co/U5tFqj63Ti
28,2021-11-06 05:09:33+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/7GX8kd24u8 https://t.co/PutZmSg8If
29,2021-11-06 05:09:18+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/7GX8kd24u8 https://t.co/YHtIyZuRSD
30,2021-11-06 05:09:10+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/7GX8kd24u8 https://t.co/2867vtrwUB
31,2021-11-06 05:05:33+00:00,"Makan Gratis Bareng Teman di ShopeeFood
https://t.co/MOgseVdQJj"
32,2021-11-06 05:05:07+00:00,Terimakasih bapak @shopeefood_id telah menyelamatkan saya😭😭🤘🏻 https://t.co/76Lzqliqsr
33,2021-11-06 05:05:01+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/Ni8DnnusmR https://t.co/VXBIN6Uyfp
34,2021-11-06 05:02:39+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/LJnch20UsJ https://t.co/pDn3y31GGl
35,2021-11-06 05:02:29+00:00,@TforTrustMe Shopeefood karna paling gede diskonnya 😂
36,2021-11-06 05:00:20+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/wDYrlr4AXc https://t.co/HGHeyOmYN9
37,2021-11-06 04:52:46+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/uzjNUmWcZ5 https://t.co/WLUh5CQhxs
38,2021-11-06 04:45:32+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/U0zU6QiXtn https://t.co/cm2tA3866h
39,2021-11-06 04:45:24+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/DGiRSa83Qd https://t.co/OsD2Hb26re
40,2021-11-06 04:44:19+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/3J7QQyxdGf https://t.co/DiIx6NYESP
41,2021-11-06 04:42:00+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/H1tE6GG9oY https://t.co/otsjk5S4IP
42,2021-11-06 04:41:53+00:00,"Makan Gratis Bareng Teman di ShopeeFood
Masih kurang beberapa orang lg nih

https://t.co/X7dLUN0QJK"
43,2021-11-06 04:38:53+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/AyTCPbo4rU https://t.co/xVKne3A981
44,2021-11-06 04:38:30+00:00,vc shopeefood aku habis 😭😭😭😭😭
45,2021-11-06 04:37:22+00:00,pertama kali pake shopeefood lama jg ya huhu biasanya gofood
46,2021-11-06 04:36:17+00:00,"Pengen jajan, tp shopeefood deket rumah gak mutu semua makanannya"
47,2021-11-06 04:35:50+00:00,Baru sadar kayaknya semenjak ada shopeefood aku jadi sering makan motekar. Karena sebelumnya gk pernah beli makan dimotekar.
48,2021-11-06 04:33:08+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/e34DYoVp8v https://t.co/HeFvzfiUWn
49,2021-11-06 04:32:32+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/XvtiQX5glb https://t.co/8Art3u85cm
50,2021-11-06 04:30:27+00:00,Shopeefood sama pacar aku bakalan lebih cepet siapa nyampenya
51,2021-11-06 04:29:43+00:00,"#shopeefood
#shopeetanam
Makan Gratis Bareng Teman di ShopeeFood https://t.co/US6i2xhQbm https://t.co/D9cqSXFkas"
52,2021-11-06 04:28:37+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/I3fxLbN4KB https://t.co/wXh6WG3HIp
53,2021-11-06 04:28:18+00:00,Ayo gabung Shopee Makan Gratis Bareng Teman di ShopeeFood https://t.co/4z4Q4My0MS https://t.co/HRgaIjY4uE
54,2021-11-06 04:27:00+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/I3fxLbN4KB https://t.co/ERPtzfDJAx
55,2021-11-06 04:23:23+00:00,"Akun shopee ibuku dibatasi🥲🥲 keknya gara"" pocer shopeefood kmarin deh HAHAHA nih gimana cara balikinnya asfghsk, masalahnya tu akun buat jualan juga"
56,2021-11-06 04:22:45+00:00,@RacunBelanja Ada tweet khusus share shopeefood gak min:)
57,2021-11-06 04:19:44+00:00,@ShopeeID @markcitz Min shopeefood kapan ada di lampung? :(
58,2021-11-06 04:17:02+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/DlbXKGJAgp
59,2021-11-06 04:14:53+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/TEASRr5c4O
