,Created_At,Tweets
0,2021-10-28 06:47:38+00:00,"kita bisa nikmatin berbagi promo dan keseruan menarik #ShopeePay1111,Seperti :
&gt; LATE NIGHT DEALS RP11
&gt; CASHBACK 100%
&gt; PAKET VOUCHER SHOPEEFOOD RP1 
Sangat menarik kan??Kita bisa beli berbagai macam kebutuhan,makanan dan minuman.#LombaBigDeals dan #ShopeePay1111  
@ShopeePay_ID https://t.co/G5aBovTQjS"
1,2021-10-28 06:47:22+00:00,@yuriestax dikit lagi jd jaket shopeefood😭
2,2021-10-28 06:46:30+00:00,"kita bisa nikmatin berbagi promo dan keseruan menarik #ShopeePay1111,Seperti :
&gt; LATE NIGHT DEALS RP11
&gt; CASHBACK 100%
&gt; PAKET VOUCHER SHOPEEFOOD RP1 
Sangat menarik kan??Kita bisa beli berbagai macam kebutuhan,makanan dan minuman.#LombaBigDeals dan #ShopeePay1111  @ShopeePay_ID"
3,2021-10-28 06:39:55+00:00,[askrl] ada yang pernah lapor shopeefood karena pesanan dan yang dateng gak sesuai kah? terus nanti sellernya gimana ya? mau lapor tapi takut mutus rejeki orang tapi rugi juga :(
4,2021-10-28 06:38:36+00:00,maaf ya abang shopeefood aku kebelet pipis segala jadi lama 😔💔
5,2021-10-28 06:37:54+00:00,w mesen shopeefood banyak udah nyampe nyokap w yang ambil w ngacir ke atas ngambil duit buat uang tip abang nya malah udah pergi anjink
6,2021-10-28 06:36:15+00:00,@madto3s Shopeefood spoil nak pin location dia. Mcm pelik sikit. Tak try lagi
7,2021-10-28 06:36:08+00:00,"TAUKAH KAMU??? tepung Ahiihii berbahan dasar alami dari Singkong/ Cassanova 😍

Tepung Ahiihii tidak menggunakan pemutih,dan sangat baik untuk pencernaan manusia BAHKAN Tinggi Kalsium dan Zat Besi loh!! 😲👍

So let's gooooo for order!! Shopeefood, Grabfood and Gofood ready 😍👍 https://t.co/Ka33xMrh2f"
8,2021-10-28 06:27:35+00:00,"PROMO DISKON &amp; ONGKIR....
KUOTA TERBATAS.....
HANYA Di........Ni Boba BRAWIJAYA 

PROMO ShopeeFood :
DISKON 30% &amp; FREE ONGKIR ( 29 Okt 2021 )
Link ShopeeFood :
https://t.co/1odhxhNv7E

PROMO GrabFood :
DISKON Rp 13.000,- &amp; DISKON ONGKIR s/d 
Rp 9.000,- ( 21-24 Okt 2021 ) https://t.co/bluHhS5lYE"
9,2021-10-28 06:27:31+00:00,@miszxzx tahu takpe. vendor kecik dia mark up harga tinggi. vendor besar dia tak kacau. lepasni guna shopeefood pulak
