,Created_At,Tweets
0,2021-11-13 10:36:38+00:00,"Yang lagi ke Bandung jangan lupa mampir, atau cek gofood, grabfood sama shopeefood ya 🤌 https://t.co/aSpmukrqQE"
1,2021-11-13 10:33:08+00:00,"@schhizo @ShopeeID @ShopeePH @ShopeeMY @ShopeeTH @shopeefood_id @schhizo Mohon maaf atas ketidaknyamanan yang dialami ya kak. Untuk kendalanya, silahkan menginformasikan detail kendala kakak melalui DM ya. Terimakasih 🙏"
2,2021-11-13 10:30:17+00:00,"MULAI DARI 6 rb buat manisin harimu 🍵
Mumpung ada promo ☕️
Ongkir cuma 7K seJKT 💚
Cus ke ig @/tehdanco.klat
Bisa via ShopeeFood Gofood
Fess https://t.co/zbKTq3s7pB"
3,2021-11-13 10:29:53+00:00,"@pzzlepiecee_ Jgn, mending shopeefood aja"
4,2021-11-13 10:27:00+00:00,2021 registrasi merhcant kudu ngeprint + scan @shopeefood_id uda kudu ngeprint ehhh mau download formnya aja ga bisa.. Yaolo susah bet
5,2021-11-13 10:25:11+00:00,@idexpress_care paket saya kemana? sampe di oper oper @ShopeeID @ShopeePH @ShopeeMY @ShopeeTH @ShopeeMY @shopeefood_id https://t.co/hnuT6FjpYq
6,2021-11-13 10:24:37+00:00,wtb voucher shopeefood yang min pembelian 30k plssssssss
7,2021-11-13 10:17:29+00:00,@susruby AKUUU HUAA AYO DOR AKU KAK MAU CO SHOPEEFOOD 😭🕯️😰🚀 https://t.co/u5beWGqg8l
8,2021-11-13 10:16:37+00:00,"Semoga seminggu betah ya tidak shopeefood, see u soon &lt;3 https://t.co/uIup3BQcXj"
9,2021-11-13 10:15:12+00:00,"@susruby bismillah dapett suprise dm ka ruby ! akunku kena limit lama ka rubyy 😭 galau banget mana hujan deres gabisa kemana mana mau shopeefood laper banget tp gaada uang, mana adek ngajak jajan es tp akunya gaada uang huhu makin galau menggalau mojok di kamar wae lah ka ruby wkwkw 😭🙏🏻"
10,2021-11-13 10:08:13+00:00,"hari ini shopeefood, gofood, grabfood ada promo apa ya"
11,2021-11-13 10:02:30+00:00,"@m_zaky_h Bukankah kita umat umat terserat? Tuku martabak gari mlakue radak go shopeefood. Untung driverre ra ngonekke ""GAH, MLAKUO DHEWE, KULO NEMBE REPOT"""
12,2021-11-13 09:54:19+00:00,"Udah sejam scroll gofood, grabfood, shopeefood, ujung-ujungnya bikin indomie"
13,2021-11-13 09:41:45+00:00,@jogmfs emang susah banget nder kalo shopeefood..kayak yang untung2an sekarang
14,2021-11-13 09:36:14+00:00,w bingung mau pake gojek/grab/shopeefood yaaaa
15,2021-11-13 09:35:41+00:00,"ANJIR GUE SALAH BANGET SHOPEEFOOD DI GACOANNN😭😭😭
lama banget woyyy"
16,2021-11-13 09:30:17+00:00,"Jog Aku daftar merchant shopeefood ket agustus tekan saiki kok ora diproses lur, ak daftar lewat sales e, sales e di wa mbendino orq tau dibales, opo kdu lgsg ng kantor e? nuwun lur"
17,2021-11-13 09:28:47+00:00,"@dapoerumami Sore kak, Mohon maaf terkait kendala akun kakak yg dibatasi karena pelanggaran penggunaan promo shopeefood. Untuk mimin lakukan pengecekan lebih lanjut, tolong infokan username Shopee kakak melalui DM ya kak. Ditunggu, terima kasih 🙏 ^YU"
