,Created_At,Tweets
29,2021-11-08 13:02:05+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/yE3OKQPbwl
30,2021-11-08 12:47:13+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/1cMxL2qxs0 https://t.co/tB69OVC7ZI
31,2021-11-08 12:46:12+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/1j2YI0KcO2 https://t.co/Pcpl5pF8KK
32,2021-11-08 12:45:58+00:00,Geh! Aku mau daftarin ayahku di shopeefood as driver. Ada disini yang tau gimana daftarnya? Kemarin udah coba searching lewat google tapi belum ada panggilan juga. Mohon bantuannya. Makasih ya
33,2021-11-08 12:41:30+00:00,alhamdulillah di rancaekek udh ada shopeefood
34,2021-11-08 12:39:19+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/NTB2MYdzYe https://t.co/XCJ6DcSqyp
35,2021-11-08 12:34:32+00:00,"@RacunBelanja https://t.co/siFXa9KDnE

Lumayan nih voucher shopeefood tinggal klik aja linknya"
36,2021-11-08 12:32:51+00:00,"@khairunnisa_ca Makasih,sama sama doa biar BIG WIN 💰💰💰💸💸💸✅✅✅ @ShopeeID @ShopeeCare @shopeefood_id @ShopeePay_ID"
37,2021-11-08 12:30:24+00:00,hidupku hampa tanpa shopeefood
38,2021-11-08 12:28:31+00:00,"Tapi sekarang masih pingin pingin ngemil 😭
Udah buka shopeefood tapi bingung mau beli apa 😂 https://t.co/LJgVQho6D6"
39,2021-11-08 12:23:19+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/vQrZBUylWp https://t.co/le9RxZZMjZ
40,2021-11-08 12:18:36+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/iiz2t5JK9B https://t.co/dSNaIkJqcW
41,2021-11-08 12:18:15+00:00,"Laper, hujan, mager nyari makan kek gini emang paling enak diorderin shopeefood."
42,2021-11-08 12:14:04+00:00,keinginan makan busui dipertemukan dengan shopeefood samadengan bablasss
43,2021-11-08 12:07:53+00:00,@Harry__04 Dket Mojosongo...Bs Order Lewat Gojek Grab &amp; Shopeefood Hanz Coffee &amp; Eatery ☺️
44,2021-11-08 12:02:58+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ScHkKr5PDX #ShopeeGiveawayNCTLightstick #ShopeeID #ShopeexNCT127 #shopeefood #Shopee #Shopee1111xNCT127 #ShopeexNCTzenSelcaWeek #ShopeeMY #ShopeePH1111 #shopeepay https://t.co/wFeggx3uDS
45,2021-11-08 12:02:07+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ew2czh1rjG https://t.co/0QeSyTqBwH
46,2021-11-08 11:59:22+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/M6ddKyoZru https://t.co/lkaVDXIAUS
47,2021-11-08 11:56:21+00:00,"@rubyjeonn_ di shopeefood yg voucher partner tertentu diskon 20k min 30k cmiiw lin, banyak kookkk"
48,2021-11-08 11:55:14+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/qTeth6iPwI
49,2021-11-08 11:54:55+00:00,@fucckhri wahhh tak tunggu ki nek wes neng grab po shopeefood
50,2021-11-08 11:53:22+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/PqQ1gLNG1U https://t.co/TPav5zzJAr
51,2021-11-08 11:52:07+00:00,"Serba RP 11 😍😍

Cek cek 🔗 https://t.co/nMJh3xh1Kq
Jgn lupa follow like &amp; retweet 😍😍

#Shopee #ShopeeID #Shopee1111xNCT127 #ShopeePH1111 #shopeepets #ShopeeFood https://t.co/EgE7829lpE"
52,2021-11-08 11:50:59+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/EYrneGK0M5 https://t.co/ifoIPuWju9
53,2021-11-08 11:50:55+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/EYrneGK0M5 https://t.co/Dj9aVoec7O
54,2021-11-08 11:50:21+00:00,"BEAR BOBBA LOWOKWARU / BLIMBING

Boba Double Salted Caramel  15K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#Shopee https://t.co/y8fBgNihZu"
55,2021-11-08 11:49:46+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/iyCJ0n2zAe
56,2021-11-08 11:47:36+00:00,"@syopaow Semoga kyk Shopeefood
Bakar duid hehehee"
57,2021-11-08 11:41:26+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/o5GqCEId1n https://t.co/B5Q5l8t3cf
58,2021-11-08 11:40:14+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/PIen7fp3I0 https://t.co/Wlp6sJ0gRm
59,2021-11-08 11:37:14+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/JEgjFpb3Fc https://t.co/2kfypnVnch
60,2021-11-08 11:37:02+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/pWiccWaG7u https://t.co/nKidwlj67N
61,2021-11-08 11:30:41+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/VKCJo97Dyw
62,2021-11-08 11:30:27+00:00,"Kadang hidup di Kota itu lebih hemat karena banyak nya promooo makanan dari resto resto hitz, makan enak ga perlu mahal 😃, sungguh ku rindu diskon 60%Shopeefood dan 60%Grabfood"
63,2021-11-08 11:26:54+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ounjvxXcnA https://t.co/WiVUJQj08M
64,2021-11-08 11:26:35+00:00,@bdngfess https://t.co/QmaN9Gh8fD aku saranin itu sih di shopeefood
65,2021-11-08 11:26:27+00:00,jog info makan malam yang ber kuah yg ada di shopeefood dong 😁😝 makasih
66,2021-11-08 11:25:34+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/tfMPxPCSJB https://t.co/dAPfBUXrrd
67,2021-11-08 11:24:01+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/rNKYDgMvqJ
68,2021-11-08 11:22:46+00:00,Saking tiap hari pesen shopeefood. Ampe abangnya hafal ama gua
69,2021-11-08 11:22:26+00:00,"Bisnis Muda - ShopeeFood Merajalela, Tokopedia Siap Bersaing di Layanan Antar Makanan Pasca Merger dengan Gojek Nanti? https://t.co/q7gx8INDDY"
70,2021-11-08 11:21:04+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ounjvxXcnA https://t.co/uYrasZFIPy
71,2021-11-08 11:20:16+00:00,"tp ya lumayan lah buat mengobati rasa rindu. (tdk utk mengobati rasa rinduku padanya 😩🙃🥲)

beli 3 sekeluarga cuma bayar 30rb pake voucher shopeefood 🤩👌"
72,2021-11-08 11:18:38+00:00,kenapa ya kalo pesen makanan di shopeefood di maps abang2nya ga jalan? kan kaget tiba tiba dateng aja
73,2021-11-08 11:16:55+00:00,"Terimakasih shopeefood 🥺🥺🥺
Seharian ini makan ga kontrol harga dari tadi pagi..
Tau2 udah keluar hampir 100k..
Apa kabar makan besok? https://t.co/XqkEnEz2Xy"
74,2021-11-08 11:16:19+00:00,@Tan_rm94 di gofood jg gak ada? atau shopeefood
75,2021-11-08 11:15:49+00:00,"harini order makanan lagi dekat shopeefood, baru je order terus dapat rider. laju harini!! hahaha"
76,2021-11-08 11:13:07+00:00,"Jelang puncak kampanye ShopeePay 11.11 Big Deals, McDonald’s Indonesia dan ShopeePay mengumumkan kolaborasi eksklusif berupa rangkaian promo ShopeePay &amp; ShopeeFood. #publisherstory https://t.co/ybKZMhin4I"
77,2021-11-08 11:13:04+00:00,@RacunBelanja serba 11 ribu min di shopeefood sampe nanti jam 7 https://t.co/yQ5Us4UIWI
78,2021-11-08 11:11:30+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/LXipC0JLS8
79,2021-11-08 11:10:07+00:00,@Whatisme16 Buka shopeefood mbak peee
80,2021-11-08 11:10:00+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/sWZaslltTA
81,2021-11-08 11:02:29+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/psff3Sk3O9 https://t.co/9A2VOf7vaF
82,2021-11-08 10:50:14+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/xbrZ4KH0Mf https://t.co/xpVogMEZuu
83,2021-11-08 10:48:57+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ZeJzVH7hYP https://t.co/L0jh2CaFSc
84,2021-11-08 10:46:52+00:00,"@pwitypie @FOODFESS2 Coba buka shopeefood dulu, terus cari banner kayak diatas"
85,2021-11-08 10:41:22+00:00,Ternyata burger circle k jauh lbh enak drpd hot dog nya :) wkwkw makasih shopeefood atas diskonnya dijam 5 wkwkw
86,2021-11-08 10:40:43+00:00,Kapan disini ada shopeefood https://t.co/JLU2OPIYdd
87,2021-11-08 10:40:40+00:00,"gw bingung ini gw mesen di indrive tapi helm yg gw pake grab, helm bapaknya shopeefood"
88,2021-11-08 10:38:34+00:00,"Cerita #shopeefood hari ini.
Sore tadi aku memesan makanan di shopeefood yang sebenarnya warungnya tuh ga jauh² banget dari kos ku (±70 m). Yaa biasalah anak kosan nyari promo makan murah. Kebetulan dapet drivernya tuh bapak² yang bisa dibilang cukup tua yaa (gitu lah pokok)"
89,2021-11-08 10:31:08+00:00,"Makan gratis bareng teman di shopeefood

https://t.co/QaXVFuqbfQ"
90,2021-11-08 10:26:55+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/paTnErsToc https://t.co/tI74WKzwTz
91,2021-11-08 10:22:21+00:00,Diskonnya shopeefood bukan maenn
92,2021-11-08 10:19:13+00:00,"Pesan #ShopeeFood , makanan belom sampai ke tangan saya , driver tiba2 menyelesaikan orderan secara sepihak . 
Bagaimana ini @ShopeeID ???"
93,2021-11-08 10:14:25+00:00,Bolak balik liat shopeefood. Beli engga-_-
94,2021-11-08 10:09:43+00:00,Makan Gratis Bareng Teman di ShopeeFood https://t.co/JDGiVZycbM
95,2021-11-08 10:04:12+00:00,@shopeefood_id khusus Jabodetabek doang ? diskriminasi
96,2021-11-08 10:03:16+00:00,@shopeefood_id tolong kalo ngasih diskon jangan jabidetabek doang
97,2021-11-08 10:02:58+00:00,"Promo....
Hanya di Ni Boba BRAWIJAYA - MOJOKERTO
Silahkan cek di :
#GrabFood #GoFood #ShopeeFood

#1111BigDeals #ShopeePay #shopeeID
#PromoShopee #PromoShopeePay #ShopeePay1111 #InfoPromo
#ShopeeFood
#KirimTandaSayang
#GrabYourGifts
#Makathon
#GrabFoodMulai10rb
#GoFoodinAja https://t.co/mIgsyICxaL"
98,2021-11-08 10:02:04+00:00,"Tiap pulang kerja mestilah bingung mau makan apa, scroll shopeefood dan grabfood bisa berjam jam, niat hemat akhirnya boros 😭"
99,2021-11-08 09:54:21+00:00,Semenjak jadi driver shopeefood gue jadi selalu halu setiap kali dengan notif dari wa. Taunya itu notif shopeefood
100,2021-11-08 09:52:16+00:00,@rnjunchnle Boleh shopeefood gk kak??☺☺
101,2021-11-08 09:49:33+00:00,"Udah order menu Geprek Bensu yang mana hari ini?😋
.
Yuk order Geprek Bensu, banyak banget promo yang bisa kamu nikmati loh🤩
.
Bisa datang ke outlet Geprek Bensu langsung atau order via Grabfood, Gofood, Shopeefood &amp; EatsbyTraveloka ya😉
#geprekbensu #senangprodukindonesia #opp https://t.co/nFzPWWTt21"
