,Created_At,Tweets
0,jangan ujan woyy shopeefood gua belom sampe 😭,2021-10-23 09:20:37+00:00
1,Gw masih kepikiran that random cheesecake I found on shopeefood 🧍 https://t.co/MRmd5UzLkN,2021-10-23 09:20:00+00:00
2,@urlovelymeow Coba cek di shopeefood,2021-10-23 09:13:06+00:00
3,"@wannayuuu @bdngfess Sok kirim aja kalo mau mh seriusan ini,  terserah maunya grabfood/gofood/shopeefood biar malmingnya nyeblak aja :( wkwk",2021-10-23 09:08:42+00:00
4,"@shopeefood_id Ayam penyet, sate, martabak",2021-10-23 09:07:29+00:00
5,Nervous karena perdana mesen makanan lewat shopeefood. Baca-baca titik antaranya suka error dan meleset jauh. Bismillah lancar 😭,2021-10-23 08:57:04+00:00
6,"nama: manda
cita-cita: jd orang kaya
hobi: beli novel, jajan di shopeefood/gofood, checkout barang gapenting",2021-10-23 08:56:53+00:00
7,"ss shopeefood bisa juga kok, maap lupa huhu",2021-10-23 08:53:46+00:00
8,Hmm kirim cake ke kakak ipar pake shopeefood. Harga awal dengan ongkir 200rban. Setelah itu voucher double + koin shopee sndiri jdi 150 aja hahahahaha,2021-10-23 08:45:03+00:00
9,"@shopeefood_id Seblak 😍😍 tinggal shopeefood deh, ada diskon 25% + gratis ongkir, terbaik 🥳🥳🥳",2021-10-23 08:35:30+00:00
10,"@kkrystalized_ shopeefood aja sampe nunggu 2,5 jam saya 😭👌",2021-10-23 08:32:39+00:00
11,"Yuk supaya momen kamu bareng temen jadi lebih seru, jangan lupa klik https://t.co/HnQLM1HzYw dan  beli makanan favorit kamu di ShopeeFood yaa!&lt;3",2021-10-23 08:11:55+00:00
12,"Akhir pekan bersama keluarga makin istimewa dengan Paket Family Weekend McD

Mulai 90 ribuan, bisa dapat menu buat bertiga &amp; GRATIS permainan seru yang bisa kamu mainkan bersama keluarga, hemat hingga 40%!😍

Yuk pesan di McDonald's atau McDelivery, GoFood, GrabFood &amp; ShopeeFood! https://t.co/sV6lt9h8Ev",2021-10-23 08:03:43+00:00
13,YUHUUUU SLOT SORE SUDAH READY GENGGGGSSS! Yukkk langsung ke gofood grabfood shopeefood 😋😋😋,2021-10-23 08:03:17+00:00
14,"ketika bingung mau split bill orderan gojek/grab/shopeefood 
solusi : https://t.co/Yz2duVvQmI",2021-10-23 08:02:07+00:00
15,"Ada yang pernah akun shopeenya tbtb dihapus, tulisannya ditinjau ga? Katanya gara gara ngelanggar shopeefood. Bingung bgt dah padahal kan kita cuman pesen shopeefood knp jadi bgini dah",2021-10-23 07:55:33+00:00
16,"@oohssehnn hi cwk, kirimin shopeefood donk😉",2021-10-23 07:54:41+00:00
17,"cu bgt liat mas"" shopeefood pake jaket oren, helm oren, vespa oren. sangat eye catching",2021-10-23 07:49:01+00:00
18,kapan di daerah gue ada shopeefood??,2021-10-23 07:33:19+00:00
19,GUA MESEN SHOPEEFOOD 15 MENIT LALU UDAH NELFON ABIS NELFON DIA NGILANG GITU AJA????,2021-10-23 07:27:47+00:00
20,@shopeefood_id gorengan bakri 😊,2021-10-23 07:27:34+00:00
21,@shopeefood_id Seblak,2021-10-23 07:26:16+00:00
22,@shopeefood_id Ikan bakar,2021-10-23 07:26:05+00:00
23,Pergi kl semata mata nk guna shopeefood 😔👍🏻,2021-10-23 07:24:27+00:00
24,"shopeefood ini bisa difilter ga sih, jadi paling deket ini nyari yg keluar 5km lebih semua yg dibawah 2km harus scroll ke bawah dulu",2021-10-23 07:18:25+00:00
25,@injooniees pake shopeefood coba kan ada gratis ongkirr,2021-10-23 07:17:15+00:00
26,"Beli shopeefood pas dateng kenapa aing nanya ""gofood ya?"" Malu dong ga fokus kebiasaan gofood atuda🤣🤣",2021-10-23 07:12:27+00:00
27,Apa makanan wajib kamu kalo bareng temen?,2021-10-23 07:12:00+00:00
28,"Pacarku cerita nganterin orderan shopeefood ke kosan (maaf) bencong, sampe sana niatnya ramah bilangin namanya cantik kayak orangnya, trus si yang order ini langsung to the point. “Mas aku isepin ya k*ntl nya?” WKOWKWOWKWOWKWOWKWOWKWOWKWOWKKWOWKWOWKOWWKOW",2021-10-23 07:04:24+00:00
29,@jibrilss15 @jibrilbangi Syukur... done beli via ShopeeFood https://t.co/w5f34kaKf3,2021-10-23 06:55:05+00:00
30,"KESEL BGT BELI SHOPEEFOOD LUPA NYALAIN DISKON VOC SAMA FREE ONGKIR. 

MANA JAUH SAMA MAHAL 😭😭😭😭😭😭😭",2021-10-23 06:52:15+00:00
31,2 nasi padang lauk ayam sama sayur + es teh cuman 15k 😭 shopeefood aku padamuuu huhuhuu,2021-10-23 06:32:42+00:00
32,@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?,2021-10-23 06:17:33+00:00
33,"Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll

Ada di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V",2021-10-23 06:10:57+00:00
34,"Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk",2021-10-23 06:07:49+00:00
35,"barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :D keywordnya Ayam Bakar Mak Tuo Pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20",2021-10-23 05:59:55+00:00
36,Shopeefood adalah penyelamat hidup,2021-10-23 05:59:35+00:00
37,Baru kali ini deh beli makanan lewat shopeefood zonk. Pesen apa yg dateng apa 😂,2021-10-23 05:54:09+00:00
38,"Hallo @shopeefood_id bgmn sistemnya nih? Masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?
Mau saya kasih rating 0 tp gak bisa ...",2021-10-23 05:50:46+00:00
39,Terbaik gila Shopeefood ni. Murah pun murah. Ngam ngam aku malas masak harini,2021-10-23 05:47:26+00:00
40,"tadii ketemu abang shopeefood ganteng bgt huhuu, pen gebet rasanya :)",2021-10-23 05:46:38+00:00
41,Boleh order dengan ShopeeFood dan Grabfood. Order skunk!!! https://t.co/7Jrd2QynLt,2021-10-23 05:43:19+00:00
42,Mari ngecek ada grabfood/shopeefood apa yg enak di cikini~,2021-10-23 05:20:11+00:00
43,"JUST HAD APA YA SEMALEM BUT SOKLATTTTTTTTTT still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus I found on shopeefood 🧍 https://t.co/DYMjWS5Isd",2021-10-23 05:17:59+00:00
44,@ShopeeCare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? Tidak sebaik dan secepat gojek pelayanan nya. Ditambah cs shopee hanya copas copas text saja.,2021-10-23 05:07:55+00:00
45,"@Askrlfess yang kamu pesen vouchernya masihan
kalau shopeefood yang ada di bawah koin https://t.co/gKZeWLTVr7",2021-10-23 05:07:45+00:00
46,@Askrlfess Maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang,2021-10-23 05:04:05+00:00
47,"@Askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja",2021-10-23 05:03:41+00:00
48,"@ShopeeCare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? Dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/L4s5AQmAfS",2021-10-23 05:02:05+00:00
49,@fimegasari Apalagi gaada shopeefood:(,2021-10-23 04:55:38+00:00
50,@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,2021-10-23 04:54:35+00:00
51,top up uangku ordernya di shopeefood,2021-10-23 04:50:11+00:00
52,"@in_rd_sa @ezash Astaga Dog :’))

Senja nitip lapak jualan Senja : Ricebox Wagyu, available di Jakarta dsk, bisa dipesan via GoFood/GrabFood/ShopeeFood (search : senjayummy). https://t.co/RgyLXHQgtM",2021-10-23 04:28:22+00:00
53,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,2021-10-23 04:14:34+00:00
54,"BEAR BOBBA LOWOKWARU

Cinnamon Roll Macchiato 18K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐 https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#BTS https://t.co/kvnyQpieh8",2021-10-23 04:07:55+00:00
55,kok mcd di shopeefood ga ada menu butter caramel,2021-10-23 04:02:26+00:00
56,"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* https://t.co/cuPipXNGbG",2021-10-23 03:55:16+00:00
57,"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* @ Ayam Gacor Menteng Atas https://t.co/3hpmFsEVcY",2021-10-23 03:54:34+00:00
58,"Setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke ShopeeFood aja pesen nasi paddington",2021-10-23 03:52:34+00:00
59,Siapa yg cita citanya namatin game shopeefood,2021-10-23 03:50:05+00:00
